dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
Credit_c,80000,20000,22,3,0.65185,0.635754562901622,0.746598742352723,11.752063989639282,110.2266013622284,ok,
Pumpkin_Seeds,2000,500,12,2,0.876,0.8756587650267947,0.3125808569467407,0.3296473026275635,0.5379846096038818,ok,
Satellite,4080,1020,36,2,0.9911764705882352,0.9893053803988162,0.0299343280046178,0.3187375068664551,1.9488117694854736,ok,
ada,3317,830,48,2,0.808433734939759,0.7754365842131681,0.3826438300958712,0.3083720207214355,1.873290777206421,ok,
autoUniv-au4-2500,2000,500,100,3,0.472,0.30493605732874,0.9132833641008876,0.3742146492004394,2.0425260066986084,ok,
default_of_credit_card_clients,24000,6000,23,2,0.8093333333333333,0.7669926294480621,0.4434198040546274,0.5099062919616699,13.806344747543337,ok,
ibm-employee-performance,1176,294,30,2,0.8469387755102041,0.7767504791972037,0.2598704107224223,0.2743837833404541,0.5500314235687256,ok,
in_vehicle_coupon_recommendation,10147,2537,21,2,0.5916436736302719,0.4940582194396272,0.6589239135362498,0.3589944839477539,3.924642562866211,ok,
jm1,8708,2177,21,2,0.808451998162609,0.7327355315497524,0.4466708049069463,0.3209233283996582,3.2908167839050293,ok,
jungle_chess_2pcs_raw_endgame_complete,35855,8964,6,3,0.8099062918340026,0.7920510150350859,0.4343173285312828,0.4779505729675293,21.46509027481079,ok,
mfeat-karhunen,1600,400,64,10,0.9475,0.9473922018887396,0.5506452441260745,0.3007714748382568,1.1422178745269775,ok,
mfeat-zernike,1600,400,47,10,0.78,0.7771742523163847,0.5404930491858471,0.2926504611968994,0.925926923751831,ok,
microaggregation2,16000,4000,20,5,0.567,0.4185983147021847,1.038377618724599,0.3651938438415527,7.174176454544067,ok,
one-hundred-plants-texture,1279,320,64,100,0.89375,0.889516369047619,1.0813943977560077,0.3052160739898681,4.22534966468811,ok,
ozone-level-8hr,2027,507,72,2,0.9368836291913216,0.9063538164274496,0.1563142841080584,0.3175022602081299,1.5766699314117432,ok,
pendigits,8793,2199,16,10,0.9890859481582538,0.9890761949938196,0.0523247680130948,0.3030867576599121,2.947476625442505,ok,
semeion,1274,319,256,10,0.896551724137931,0.8970296455729836,0.7294265837545119,0.4824082851409912,3.1341803073883057,ok,
thyroid,5760,1440,21,3,0.9666666666666668,0.9615673354329224,0.0676036480375893,0.3002421855926513,2.0471720695495605,ok,
vehicle,676,170,18,4,0.788235294117647,0.7803449887472408,0.3634284766473183,0.3925445079803467,0.2803795337677002,ok,
water_quality,6396,1600,20,2,0.88625,0.8328048376408218,0.2732005248928749,0.2789661884307861,2.0743448734283447,ok,
wine,2043,511,4,2,0.735812133072407,0.7348679559451088,0.537043350024956,0.2450325489044189,0.2074692249298095,ok,
yeast,1187,297,8,10,0.6060606060606061,0.5963939264682546,1.0473581329031605,0.2506704330444336,0.306887149810791,ok,
Amazon_employee_access,26215,6554,7,2,0.9421727189502592,0.9141199684999374,0.2195770697984659,11.31757640838623,12.686896324157717,ok,
BNG(tic-tac-toe),31492,7874,9,2,0.7703835407670815,0.7558997158224585,0.4930357591235429,0.4650924205780029,18.033286094665527,ok,
Click_prediction_small,31958,7990,3,2,0.8315394242803504,0.755056435003232,0.4451475160695318,0.2829787731170654,6.337369918823242,ok,
Customer_Personality_Analysis,1792,448,24,2,0.875,0.8393584826511656,0.2860301222043313,0.2648687362670898,0.672532320022583,ok,
Employee,3722,931,8,2,0.8313641245972073,0.815936939214953,0.412187893336865,0.2542665004730224,0.9390292167663574,ok,
FICO-HELOC-cleaned,7896,1975,23,2,0.7316455696202532,0.7315385372488944,0.5440318424595068,0.3166933059692383,3.214799165725708,ok,
FOREX_audchf-day-High,1466,367,10,2,0.670299727520436,0.6700450287026988,0.67138337946272,0.249730110168457,0.3887488842010498,ok,
FOREX_audjpy-day-High,1465,367,10,2,0.7057220708446866,0.6978048252341339,0.603123071987942,0.2462637424468994,0.381105899810791,ok,
FOREX_audjpy-hour-High,35060,8765,10,2,0.5177410154021677,0.4755466497859864,0.6926204606560552,0.3939602375030517,22.03065395355225,ok,
FOREX_audusd-hour-High,35060,8765,10,2,0.5296063890473474,0.366738697390585,0.6908753153162538,0.4253034591674804,22.04771733283997,ok,
Fitness_Club_c,1200,300,6,2,0.7866666666666666,0.7803179538430218,0.4696654572426027,0.3720183372497558,0.2241828441619873,ok,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,1280,320,20,2,0.584375,0.5843709411224719,0.6817886980463718,0.2553968429565429,0.4438233375549316,ok,
Gender_Gap_in_Spanish_WP,3796,950,13,3,0.588421052631579,0.4359540999616337,0.8346581943486794,0.2596824169158935,1.1145453453063965,ok,
HR_Analytics_Job_Change_of_Data_Scientists,15326,3832,13,2,0.7510438413361169,0.6455017546312674,0.4767573619282847,0.3603885173797607,6.022663593292236,ok,
Indian_pines,7315,1829,220,8,0.8195735374521597,0.8020422550625504,0.4183298684890787,0.880363941192627,18.22759962081909,ok,
compass,13315,3329,17,2,0.6975067587864223,0.697396663391519,0.5949983498209175,0.3440220355987549,5.260798215866089,ok,
electricity,36249,9063,8,2,0.7977490897053956,0.7949857502285089,0.4317034813743254,0.4126019477844238,22.947429895401,ok,
led24,2560,640,24,10,0.7375,0.7330907452166757,1.053210965667335,0.2665901184082031,0.9292571544647216,ok,
led7,2560,640,7,10,0.7234375,0.7223450516028923,0.8477840277852231,0.2446980476379394,0.5574710369110107,ok,
