ckpt,ckpt_path,started_at,finished_at,total_wall_seconds,talent_avg_acc,talent_wall_seconds,talent_discovered_pairs,talent_processed_pairs,talent_failed_count,talent_missing_test_count
step-100.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-100.ckpt,2026-02-01 02:36:26,2026-02-01 02:40:16,229.184000,0.486578,229.184,175,175,0,0
step-1000.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-1000.ckpt,2026-02-01 02:40:16,2026-02-01 02:44:11,233.585000,0.551740,233.585,175,175,0,0
step-10000.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10000.ckpt,2026-02-01 02:44:11,2026-02-01 02:48:09,236.788000,0.793689,236.788,175,175,0,0
step-10050.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10050.ckpt,2026-02-01 02:48:09,2026-02-01 02:52:07,236.923000,0.794226,236.923,175,175,0,0
step-10100.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10100.ckpt,2026-02-01 02:52:07,2026-02-01 02:56:05,236.891000,0.793674,236.891,175,175,0,0
step-10150.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10150.ckpt,2026-02-01 02:56:05,2026-02-01 03:00:02,236.321000,0.793579,236.321,175,175,0,0
step-10200.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10200.ckpt,2026-02-01 03:00:02,2026-02-01 03:04:02,238.714000,0.797087,238.714,175,175,0,0
step-10250.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10250.ckpt,2026-02-01 03:04:02,2026-02-01 03:08:00,236.761000,0.792736,236.761,175,175,0,0
step-10300.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10300.ckpt,2026-02-01 03:08:00,2026-02-01 03:11:58,236.431000,0.793332,236.431,175,175,0,0
step-10350.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10350.ckpt,2026-02-01 03:11:58,2026-02-01 03:15:57,237.781000,0.795189,237.781,175,175,0,0
step-10400.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10400.ckpt,2026-02-01 03:15:57,2026-02-01 03:19:55,237.397000,0.792856,237.397,175,175,0,0
step-10450.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10450.ckpt,2026-02-01 03:19:56,2026-02-01 03:23:54,237.190000,0.791918,237.190,175,175,0,0
step-1050.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-1050.ckpt,2026-02-01 03:23:54,2026-02-01 03:27:49,233.447000,0.557345,233.447,175,175,0,0
step-10500.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10500.ckpt,2026-02-01 03:27:49,2026-02-01 03:31:47,236.805000,0.791790,236.805,175,175,0,0
step-10550.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10550.ckpt,2026-02-01 03:31:47,2026-02-01 03:35:45,237.401000,0.793955,237.401,175,175,0,0
step-10600.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10600.ckpt,2026-02-01 03:35:45,2026-02-01 03:39:43,236.576000,0.794897,236.576,175,175,0,0
step-10650.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10650.ckpt,2026-02-01 03:39:43,2026-02-01 03:43:41,236.506000,0.782768,236.506,175,175,0,0
step-10700.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10700.ckpt,2026-02-01 03:43:41,2026-02-01 03:47:38,236.085000,0.791498,236.085,175,175,0,0
step-10750.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10750.ckpt,2026-02-01 03:47:38,2026-02-01 03:51:36,236.357000,0.791149,236.357,175,175,0,0
step-10800.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10800.ckpt,2026-02-01 03:51:36,2026-02-01 03:55:33,236.617000,0.792895,236.617,175,175,0,0
step-10850.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10850.ckpt,2026-02-01 03:55:33,2026-02-01 03:59:31,236.835000,0.793559,236.835,175,175,0,0
step-10900.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10900.ckpt,2026-02-01 03:59:31,2026-02-01 04:03:29,236.147000,0.792798,236.147,175,175,0,0
step-10950.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-10950.ckpt,2026-02-01 04:03:29,2026-02-01 04:07:27,236.982000,0.793892,236.982,175,175,0,0
step-1100.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-1100.ckpt,2026-02-01 04:07:27,2026-02-01 04:11:23,234.784000,0.560695,234.784,175,175,0,0
step-11000.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11000.ckpt,2026-02-01 04:11:23,2026-02-01 04:15:21,237.199000,0.795370,237.199,175,175,0,0
step-11050.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11050.ckpt,2026-02-01 04:15:21,2026-02-01 04:19:20,237.342000,0.792248,237.342,175,175,0,0
step-11100.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11100.ckpt,2026-02-01 04:19:20,2026-02-01 04:23:17,235.931000,0.793428,235.931,175,175,0,0
step-11150.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11150.ckpt,2026-02-01 04:23:17,2026-02-01 04:27:16,237.484000,0.792804,237.484,175,175,0,0
step-11200.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11200.ckpt,2026-02-01 04:27:16,2026-02-01 04:31:13,236.247000,0.793812,236.247,175,175,0,0
step-11250.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11250.ckpt,2026-02-01 04:31:13,2026-02-01 04:35:10,236.061000,0.788990,236.061,175,175,0,0
step-11300.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11300.ckpt,2026-02-01 04:35:10,2026-02-01 04:39:08,236.570000,0.791860,236.570,175,175,0,0
step-11350.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11350.ckpt,2026-02-01 04:39:08,2026-02-01 04:43:05,236.015000,0.792959,236.015,175,175,0,0
step-11400.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11400.ckpt,2026-02-01 04:43:05,2026-02-01 04:47:04,237.324000,0.791915,237.324,175,175,0,0
step-11450.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11450.ckpt,2026-02-01 04:47:04,2026-02-01 04:51:03,237.576000,0.792591,237.576,175,175,0,0
step-1150.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-1150.ckpt,2026-02-01 04:51:03,2026-02-01 04:54:57,233.673000,0.565190,233.673,175,175,0,0
step-11500.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11500.ckpt,2026-02-01 04:54:57,2026-02-01 04:58:55,236.414000,0.794372,236.414,175,175,0,0
step-11550.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11550.ckpt,2026-02-01 04:58:55,2026-02-01 05:02:53,237.066000,0.793612,237.066,175,175,0,0
step-11600.ckpt,/vast/users/guangyi.chen/causal_group/zijian.li/LDM/tabicl_new/tabicl/stabe1/checkpoint/dir4/step-11600.ckpt,2026-02-01 05:02:53,2026-02-01 05:06:51,236.164000,0.785140,236.164,175,175,0,0
