dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
dabetes_130-us_hospitals,81412,20354,20,2,0.5771838459270905,0.5382196940900302,0.6747708035045501,11.914225816726685,113.56155776977539,ok,
HR_Analytics_Job_Change_of_Data_Scientists,15326,3832,13,2,0.7505219206680585,0.6442723837500709,0.5069184085488698,0.5068423748016357,5.97296404838562,ok,
MIC,1319,330,104,2,0.8454545454545455,0.774652933273623,0.38563138760018634,0.415956974029541,1.4125235080718994,ok,
MagicTelescope,15216,3804,9,2,0.7949526813880127,0.779409594418784,0.46042477644535695,0.3802032470703125,5.354937314987183,ok,
Satellite,4080,1020,36,2,0.9882352941176471,0.9843486355966719,0.050524376725081,0.3484010696411133,1.961073398590088,ok,
ada,3317,830,48,2,0.791566265060241,0.7436387200795092,0.42021466147092335,0.3511240482330322,1.8770549297332764,ok,
allbp,3017,755,29,3,0.9562913907284768,0.9349253677805826,0.1845533063805647,0.3207674026489258,1.2509114742279053,ok,
bank,36168,9043,16,2,0.8830034280659074,0.8281398136136093,0.33396713798085603,0.5719876289367676,25.02238917350769,ok,
internet_usage,8086,2022,70,46,0.3125618199802176,0.1756037533295925,2.6207243321526255,0.6228647232055664,14.353214025497437,ok,
led24,2560,640,24,10,0.68125,0.6730256650051164,1.7828716095790966,0.3121187686920166,0.9493050575256348,ok,
led7,2560,640,7,10,0.6984375,0.695126051921978,1.0137088041655042,0.3103182315826416,0.5582315921783447,ok,
letter,16000,4000,15,26,0.60225,0.6081896966978895,2.237382877026075,0.4131314754486084,18.729656219482422,ok,
naticusdroid+android+permissions+dataset,23465,5867,86,2,0.8789841486279188,0.878411953325299,0.4185069170715812,0.8878340721130371,25.611904859542847,ok,
vehicle,676,170,18,4,0.6294117647058823,0.5961412274803496,0.9717874837928916,0.3986036777496338,0.28330087661743164,ok,
water_quality,6396,1600,20,2,0.886875,0.8355050647662589,0.29558808395192315,0.3222696781158447,2.077383279800415,ok,
yeast,1187,297,8,10,0.48148148148148145,0.4543083432247493,1.4342796304335124,0.29535460472106934,0.3157322406768799,ok,
