dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
Amazon_employee_access,26215,6554,7,2,0.9421727189502592,0.9141199684999374,0.2204376068766265,11.38790512084961,12.731381177902222,ok,
BNG(cmc),44236,11060,9,3,0.5348101265822784,0.5229194434493419,0.9516809262155248,0.572603702545166,33.05871653556824,ok,
Customer_Personality_Analysis,1792,448,24,2,0.8727678571428571,0.8352795225111176,0.3207048776024639,0.324437141418457,0.6717066764831543,ok,
Diabetic_Retinopathy_Debrecen,920,231,19,2,0.670995670995671,0.6712176712176712,0.6070759202429158,0.3077864646911621,0.3507039546966553,ok,
E-CommereShippingData,8799,2200,10,2,0.5954545454545455,0.4676128335291249,0.6200159022473115,0.3357236385345459,2.52150821685791,ok,
FICO-HELOC-cleaned,7896,1975,23,2,0.7002531645569621,0.7001507225559498,0.5990462936479148,0.3726181983947754,3.263737678527832,ok,
FOREX_audchf-day-High,1466,367,10,2,0.5395095367847411,0.538707581153495,0.6920836385691551,0.789029598236084,0.5224242210388184,ok,
FOREX_audjpy-day-High,1465,367,10,2,0.5667574931880109,0.5642203252944792,0.6918416792152238,0.4259290695190429,0.3844151496887207,ok,
FOREX_audjpy-hour-High,35060,8765,10,2,0.5371363377067884,0.5068817142714007,0.6883596695730315,0.5817639827728271,31.18473958969116,ok,
FOREX_audusd-hour-High,35060,8765,10,2,0.5270964061608671,0.3872838773774957,0.6888679418400044,0.550001859664917,73.8327910900116,ok,
PhishingWebsites,8844,2211,30,2,0.9317051108095884,0.9315348874770896,0.1978278554789614,0.3965110778808594,6.715245962142944,ok,
abalone,3341,836,8,3,0.6028708133971292,0.5961655842203987,0.8464063246727754,1.2702059745788574,4.419780254364014,ok,
analcatdata_authorship,672,169,69,4,0.7988165680473372,0.7687245853757393,0.6630705536139586,0.3469805717468261,3.661921977996826,ok,
car-evaluation,1382,346,21,4,0.8352601156069365,0.8247593498830367,0.3714960034587627,0.3276650905609131,1.2785098552703855,ok,
company_bankruptcy_prediction,5455,1364,95,2,0.967741935483871,0.9518773135906928,0.1080642207649691,0.5511116981506348,12.854262828826904,ok,
estimation_of_obesity_levels,1688,423,16,7,0.7375886524822695,0.7259241498670764,0.913750916080062,0.3368496894836426,0.6589114665985107,ok,
eye_movements,8748,2188,27,3,0.4771480804387568,0.4015114681549704,0.993604925463886,0.432197093963623,7.760422229766846,ok,
hill-valley,969,243,100,2,0.5185185185185185,0.4939696791548643,0.6931041679239066,0.3802642822265625,2.022200345993042,ok,
htru,14318,3580,8,2,0.978491620111732,0.9778078802733476,0.0779520667013016,0.3595130443572998,8.322635650634766,ok,
jungle_chess_2pcs_raw_endgame_complete,35855,8964,6,3,0.7044846050870147,0.666500494800116,0.7114302480085708,0.5807662010192871,40.41240620613098,ok,
mobile_c36_oversampling,41408,10352,6,2,0.9006955177743431,0.9009574449465696,0.2822735877635477,0.4080379009246826,33.58596444129944,ok,
semeion,1274,319,256,10,0.7429467084639498,0.7340066162726903,1.3621974865882194,0.5446062088012695,7.256609439849853,ok,
twonorm,5920,1480,20,2,0.947972972972973,0.947968340918057,0.1378437248146005,0.3657834529876709,4.004705429077148,ok,
wine,2043,511,4,2,0.735812133072407,0.735812133072407,0.56033355820714,0.3068971633911133,0.5197961330413818,ok,
customer_satisfaction_in_airline,103904,25976,21,2,0.8424699722821065,0.8425574932309767,0.3789344537330477,12.377728462219238,222.39614176750183,ok,
led24,2560,640,24,10,0.578125,0.5499541005942924,1.6946171825010383,0.4915685653686523,4.698335647583008,ok,
letter,16000,4000,15,26,0.70125,0.7050668650483013,1.826578561030881,0.5148022174835205,60.09586024284363,ok,
ringnorm,5920,1480,20,2,0.9547297297297296,0.9547306597815074,0.1329862577751555,0.376204252243042,3.719904661178589,ok,
statlog,800,200,20,2,0.71,0.5992364955144112,0.5557883600583741,0.3326504230499267,0.8037400245666504,ok,
texture,4400,1100,40,11,0.8672727272727273,0.8655247956790262,0.4961518473124999,0.3850476741790771,7.9463934898376465,ok,
BLE_RSSI_dataset_for_Indoor_localization,7987,1997,3,3,0.685528292438658,0.6845709815670209,0.7822056797760859,11.36497712135315,3.00630259513855,ok,
BNG(breast-w),31492,7874,9,2,0.9796799593599188,0.9797385704763266,0.0588951598965865,0.6666145324707031,17.925308227539062,ok,
BNG(tic-tac-toe),31492,7874,9,2,0.7226314452628905,0.6729228550400518,0.5456119562882109,0.4767560958862304,17.983036279678345,ok,
Cardiovascular-Disease-dataset,56000,14000,11,2,0.7022857142857143,0.7020865531313258,0.5891231248008382,0.5529680252075195,79.74291753768921,ok,
Firm-Teacher_Clave-Direction_Classification,8640,2160,16,4,0.6328703703703704,0.5601484591361698,1.0447079992640642,0.3762505054473877,13.057276010513306,ok,
Fitness_Club_c,1200,300,6,2,0.7433333333333333,0.7050481410161458,0.5061016262971757,0.3204915523529053,0.725933313369751,ok,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,1280,320,20,2,0.503125,0.480344394398995,0.6918214344034965,0.3297896385192871,4.6575140953063965,ok,
GesturePhaseSegmentationProcessed,7898,1975,32,5,0.4536708860759493,0.3466730965857318,1.294694935807801,0.4758751392364502,15.659407138824465,ok,
JapaneseVowels,7968,1993,14,9,0.5639739086803813,0.5527586884489905,1.661647677470654,0.566253662109375,3.1554930210113525,ok,
MagicTelescope,15216,3804,9,2,0.8225552050473186,0.8122661383099684,0.406159871458335,0.4015564918518066,5.80125617980957,ok,
QSAR_biodegradation,843,211,41,2,0.8672985781990521,0.8616747844520213,0.3253788335808925,0.3282203674316406,0.5334677696228027,ok,
UJI_Pen_Characters,1091,273,80,35,0.1868131868131868,0.1609873750807779,3.121319380986879,0.3898234367370605,16.407255172729492,ok,
delta_ailerons,5703,1426,5,2,0.9207573632538568,0.920760766228128,0.2544829545380219,0.2999007701873779,5.84747576713562,ok,
dry_bean_dataset,10888,2723,16,7,0.8766066838046273,0.8755216451395943,0.3875278594020319,0.3778526782989502,12.84378457069397,ok,
