benchmark,dataset_id,dataset_dir,dataset_name,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
tabzilla_csv,OpenML-ID-1067,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-1067.csv,1687,422,21,2,0.8649289099526066,0.8374845228342634,0.3124050896139512,0.0295798778533935,0.7765934467315674,ok,
tabzilla_csv,OpenML-ID-1494,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-1494.csv,844,211,41,2,0.9004739336492891,0.9002980969807408,0.2430069269007456,0.0402183532714843,0.6786274909973145,ok,
tabzilla_csv,OpenML-ID-333,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-333.csv,444,112,6,2,1.0,1.0,1.8548987508782736e-05,0.0101492404937744,0.2396192550659179,ok,
tabzilla_csv,OpenML-ID-43945,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-43945.csv,30779,7695,8,2,0.8957764782326186,0.8957761578852776,0.2359941276498766,0.132575511932373,17.7276349067688,ok,
tabzilla_csv,OpenML-ID-999,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-999.csv,180,46,69,2,0.9347826086956522,0.9315020558131396,0.1649048993736362,0.0456199645996093,0.3889586925506592,ok,
tabzilla_csv,OpenML-ID-11,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-11.csv,500,125,4,3,0.96,0.9630825688073394,0.0874893906525434,0.0091974735260009,0.2292864322662353,ok,
tabzilla_csv,OpenML-ID-1565,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-1565.csv,235,59,13,5,0.6779661016949152,0.6087242149520432,0.8612062493529808,0.0136129856109619,0.3092114925384521,ok,
tabzilla_csv,OpenML-ID-40981,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-40981.csv,552,138,14,2,0.8478260869565217,0.8481405125251943,0.3504838746021525,0.0159845352172851,0.3550417423248291,ok,
tabzilla_csv,OpenML-ID-43973,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-43973.csv,2537,635,5,2,0.8834645669291339,0.8834645669291339,0.2390126155032832,0.0133020877838134,0.4610307216644287,ok,
tabzilla_csv,OpenML-ID-1169,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-1169.csv,431506,107877,7,2,0.6602612234303883,0.6499562225279373,0.6157175855130902,1.616177320480347,2426.422840833664,ok,
tabzilla_csv,OpenML-ID-1567,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-1567.csv,820007,205002,10,10,0.8563770109559907,0.8403723277242137,0.384649224466932,3.739321708679199,9970.081443309784,ok,
tabzilla_csv,OpenML-ID-41027,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-41027.csv,35855,8964,6,3,0.8653502900490853,0.8641396642982511,0.2313287729021702,0.1144587993621826,22.32656455039978,ok,
tabzilla_csv,OpenML-ID-4538,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabzilla35,OpenML-ID-4538.csv,7898,1975,32,5,0.7534177215189873,0.7470442880402347,0.6828327736554382,0.119678258895874,4.422201156616211,ok,
