benchmark,dataset_id,dataset_dir,dataset_name,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
openml_cc18_csv,OpenML-ID-11,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-11.csv,500,125,4,3,0.96,0.9630825688073394,0.08748939065254349,11.307531595230103,2.1264729499816895,ok,
openml_cc18_csv,OpenML-ID-1478,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1478.csv,8239,2060,561,6,0.9927184466019418,0.9927180976197644,0.024965997282158533,2.456479787826538,65.24453973770142,ok,
openml_cc18_csv,OpenML-ID-15,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-15.csv,559,140,9,2,0.9571428571428572,0.9575238095238096,0.1425929976528178,0.014604568481445312,0.32688045501708984,ok,
openml_cc18_csv,OpenML-ID-188,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-188.csv,588,148,19,5,0.668918918918919,0.6686836327703201,0.6580168456483065,0.019660472869873047,0.3676626682281494,ok,
openml_cc18_csv,OpenML-ID-300,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-300.csv,6237,1560,617,26,0.9621794871794872,0.9622642388077685,0.13881734338702645,1.8005390167236328,61.50096869468689,ok,
openml_cc18_csv,OpenML-ID-40670,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-40670.csv,2548,638,180,3,0.8949843260188087,0.893199410546347,0.31452107084172176,0.22418618202209473,5.174417734146118,ok,
openml_cc18_csv,OpenML-ID-40982,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-40982.csv,1552,389,27,7,0.8200514138817481,0.8171448451309439,0.4441455158670598,0.03472781181335449,0.8073403835296631,ok,
openml_cc18_csv,OpenML-ID-4534,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-4534.csv,8844,2211,30,2,0.973767526006332,0.9737347980253122,0.06308593478366353,0.10004234313964844,4.61545991897583,ok,
openml_cc18_csv,OpenML-ID-6,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-6.csv,16000,4000,16,26,0.98575,0.9857342550081403,0.04065378605703796,0.11493730545043945,26.245663166046143,ok,
tabarena_cls,46913__blood-transfusion-service-center,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46913__blood-transfusion-service-center.csv,598,150,4,2,0.78,0.7536326530612246,0.4683390142275396,0.009839296340942383,0.3301534652709961,ok,
tabarena_cls,46924__E-CommereShippingData,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46924__E-CommereShippingData.csv,8799,2200,10,2,0.6859090909090909,0.6757123081212616,,0.0559849739074707,27.909554958343506,ok,
tabarena_cls,46938__Is-this-a-good-customer,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46938__Is-this-a-good-customer.csv,1378,345,13,2,0.8869565217391304,0.8338208775796434,0.30570986285957313,0.023314476013183594,1.6391465663909912,ok,
tabarena_cls,46956__seismic-bumps,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46956__seismic-bumps.csv,2067,517,15,2,0.9342359767891683,0.9024719535783365,0.20697494119077636,0.031137704849243164,2.5578534603118896,ok,
