benchmark,dataset_id,dataset_dir,dataset_name,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
openml_cc18_csv,OpenML-ID-1049,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1049.csv,1166,292,37,2,0.9178082191780822,0.9073118662159758,0.1430703625228516,11.813461542129517,3.0615122318267822,ok,
openml_cc18_csv,OpenML-ID-11,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-11.csv,500,125,4,3,0.976,0.97724089306698,0.0459471945395039,0.0092418193817138,0.2339198589324951,ok,
openml_cc18_csv,OpenML-ID-1468,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1468.csv,864,216,856,9,0.9537037037037036,0.9542032868240318,0.5328119159217908,0.8674185276031494,7.737550497055054,ok,
openml_cc18_csv,OpenML-ID-1487,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1487.csv,2027,507,72,2,0.9526627218934912,0.9408005732792056,0.1355730404919094,0.0894417762756347,1.8926806449890137,ok,
openml_cc18_csv,OpenML-ID-151,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-151.csv,36249,9063,8,2,0.8860200816506676,0.8858876106491633,0.2635147783003777,0.1501615047454834,23.06887912750244,ok,
openml_cc18_csv,OpenML-ID-188,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-188.csv,588,148,19,5,0.6824324324324325,0.6867875403654746,0.6440378210789586,0.0191106796264648,0.3789014816284179,ok,
openml_cc18_csv,OpenML-ID-29,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-29.csv,552,138,15,2,0.9057971014492754,0.9057117135913516,0.3049120351942601,0.0166633129119873,0.3611056804656982,ok,
openml_cc18_csv,OpenML-ID-37,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-37.csv,614,154,8,2,0.7987012987012987,0.7925345773589287,0.4577768423017612,0.0122475624084472,0.3223958015441894,ok,
openml_cc18_csv,OpenML-ID-40923,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-40923.csv,73600,18400,1024,46,0.9465760869565216,0.9465893212179268,0.2561646123998052,34.77723026275635,2651.156287431717,ok,
openml_cc18_csv,OpenML-ID-40982,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-40982.csv,1552,389,27,7,0.8020565552699229,0.7982156714846222,0.4891476708361075,0.0378363132476806,0.7925522327423096,ok,
openml_cc18_csv,OpenML-ID-4134,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-4134.csv,3000,751,1776,2,0.7896138482023968,0.7892074557088873,0.4664071333293698,3.523557186126709,80.56835150718689,ok,
openml_cc18_csv,OpenML-ID-469,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-469.csv,637,160,4,6,0.15,0.1212536549707602,1.7688110324587476,0.0097391605377197,0.3013379573822021,ok,
openml_cc18_csv,OpenML-ID-1050,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1050.csv,1250,313,37,2,0.9009584664536742,0.8570277336016067,,11.845996141433716,3.8938045501708975,ok,
openml_cc18_csv,OpenML-ID-12,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-12.csv,1600,400,216,10,0.98,0.9800212650346128,0.0605136461592154,0.2107274532318115,3.870085716247559,ok,
openml_cc18_csv,OpenML-ID-1475,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1475.csv,4894,1224,51,6,0.6209150326797386,0.6025372683599413,1.0597699944045154,0.115802526473999,3.540083169937134,ok,
openml_cc18_csv,OpenML-ID-1489,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1489.csv,4323,1081,5,2,0.9269195189639224,0.92667820671363,0.1852812732187641,0.0170831680297851,0.7714476585388184,ok,
openml_cc18_csv,OpenML-ID-1510,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1510.csv,455,114,30,2,0.9824561403508772,0.9824561403508772,0.0602664954365929,0.0274679660797119,0.3960142135620117,ok,
openml_cc18_csv,OpenML-ID-22,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-22.csv,1600,400,47,10,0.8225,0.8200257933246418,0.2897167008437038,0.054746389389038,1.1182868480682373,ok,
openml_cc18_csv,OpenML-ID-3,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-3.csv,2556,640,36,2,0.98125,0.9812325434392732,0.0596169438434949,0.0525729656219482,1.5064678192138672,ok,
openml_cc18_csv,OpenML-ID-38,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-38.csv,3017,755,28,2,0.9880794701986756,0.9878911456405384,0.0282046050964528,0.0434417724609375,1.486825704574585,ok,
openml_cc18_csv,OpenML-ID-40927,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-40927.csv,48000,12000,3072,10,0.49625,0.4859058207629261,1.473362195396837,82.92523670196533,6367.293350696564,ok,
openml_cc18_csv,OpenML-ID-40983,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-40983.csv,3871,968,5,2,0.9907024793388428,0.9906598818919714,0.0290238574290077,0.025177001953125,0.7061669826507568,ok,
openml_cc18_csv,OpenML-ID-44,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-44.csv,3680,921,57,2,0.9543973941368078,0.9542058418581608,0.1201900579164485,0.1036717891693115,3.0439541339874268,ok,
openml_cc18_csv,OpenML-ID-50,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-50.csv,766,192,9,2,0.9895833333333334,0.9895457551707552,0.0297942430052323,0.0129191875457763,0.3748650550842285,ok,
openml_cc18_csv,OpenML-ID-1053,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1053.csv,8708,2177,21,2,0.8158015617822691,0.7683324217294112,0.4207485842990466,11.866851329803469,5.896188259124756,ok,
openml_cc18_csv,OpenML-ID-14,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-14.csv,1600,400,76,10,0.855,0.8539514535729785,0.3516633204318121,0.0818142890930175,1.5670630931854248,ok,
openml_cc18_csv,OpenML-ID-1478,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1478.csv,8239,2060,561,6,0.9868932038834952,0.986888149101412,0.0463804996951656,2.3297119140625,67.15425324440002,ok,
openml_cc18_csv,OpenML-ID-1494,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1494.csv,844,211,41,2,0.90521327014218,0.90521327014218,0.2481757203233169,0.0416581630706787,0.6857683658599854,ok,
openml_cc18_csv,OpenML-ID-1590,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1590.csv,39073,9769,14,2,0.8590439144231754,0.8540395187881165,,0.2332222461700439,65.17525935173035,ok,
openml_cc18_csv,OpenML-ID-23,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-23.csv,1178,295,9,3,0.5627118644067797,0.5569937373299072,0.9078157735855044,0.0144004821777343,0.4537701606750488,ok,
openml_cc18_csv,OpenML-ID-300,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-300.csv,6237,1560,617,26,0.9557692307692308,0.9557968379103394,0.1512018032718199,1.7706823348999023,62.37367939949036,ok,
