benchmark,dataset_id,dataset_dir,dataset_name,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
tabarena_cls,46905__Amazon_employee_access,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46905__Amazon_employee_access.csv,26215,6554,9,2,0.9479707049130304,0.9337257082740252,0.1612848632655866,0.1142752170562744,13.51407527923584,ok,
tabarena_cls,46913__blood-transfusion-service-center,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46913__blood-transfusion-service-center.csv,598,150,4,2,0.7933333333333333,0.7685640074211503,0.4570005368251698,0.0097460746765136,0.1488857269287109,ok,
tabarena_cls,46921__diabetes,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46921__diabetes.csv,614,154,8,2,0.7467532467532467,0.7307068796987222,0.4557240162598456,0.0126895904541015,0.3009986877441406,ok,
tabarena_cls,46932__heloc,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46932__heloc.csv,8367,2092,23,2,0.7323135755258127,0.7318533916147735,0.5398911291899529,0.0878686904907226,3.6803057193756095,ok,
tabarena_cls,46940__Marketing_Campaign,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46940__Marketing_Campaign.csv,1792,448,25,2,0.8839285714285714,0.8808467326324468,0.2672275659316346,0.0394732952117919,0.8228020668029785,ok,
tabarena_cls,46956__seismic-bumps,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46956__seismic-bumps.csv,2067,517,15,2,0.9342359767891684,0.9024719535783364,0.2073559286685161,0.0300004482269287,0.8387622833251953,ok,
tabarena_cls,46979__jm1,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46979__jm1.csv,8708,2177,21,2,0.8190169958658705,0.7673792109689155,0.4191712173107377,0.0874967575073242,3.702122211456299,ok,
tabarena_cls,46906__anneal,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46906__anneal.csv,718,180,38,5,1.0,1.0,0.0095922463301753,0.041712999343872,0.5014641284942627,ok,
tabarena_cls,46915__churn,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46915__churn.csv,4000,1000,19,2,0.958,0.9566386036419856,0.1484878127667095,0.0394964218139648,1.770307540893555,ok,
tabarena_cls,46922__Diabetes130US,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46922__Diabetes130US.csv,57214,14304,47,2,0.9119826621923938,0.8699999143149495,0.2916356891140959,1.5478284358978271,74.05194568634033,ok,
