benchmark,dataset_id,dataset_dir,dataset_name,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
talent_cls,California-Housing-Classification,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,California-Housing-Classification.csv,16512,4128,8,2,0.8955910852713178,0.8955906992600319,0.2347032456862226,0.0792102813720703,6.242591619491577,ok,
talent_cls,Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz_Urbinati,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,Contaminant-detection-in-packaged-cocoa-hazelnut-spread-jars-using-Microwaves-Sensing-and-Machine-Learning-9.0GHz_Urbinati.csv,1920,480,30,2,0.9583333333333334,0.9583217560433454,0.1178575569915081,0.0381305217742919,0.944347620010376,ok,
talent_cls,FICO-HELOC-cleaned,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,FICO-HELOC-cleaned.csv,7896,1975,23,2,0.7351898734177216,0.7344831440549169,0.5300235558916787,0.0881843566894531,3.679521799087525,ok,
talent_cls,FOREX_audsgd-hour-High,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,FOREX_audsgd-hour-High.csv,35060,8765,10,2,0.6583000570450656,0.6576207951969382,0.616934508495872,0.193030834197998,22.44927406311035,ok,
talent_cls,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001.csv,1280,320,20,2,0.69375,0.692295615997488,0.5717533090739131,0.0270450115203857,0.5525352954864502,ok,
talent_cls,Is-this-a-good-customer,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,Is-this-a-good-customer.csv,1378,345,13,2,0.8927536231884058,0.8474190654682054,0.297430959236755,0.021989107131958,0.5575816631317139,ok,
talent_cls,Marketing_Campaign,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,Marketing_Campaign.csv,1792,448,27,2,0.9040178571428572,0.8972564139779388,0.2477560603818653,0.036576509475708,0.8212745189666748,ok,
talent_cls,PizzaCutter3,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,PizzaCutter3.csv,834,209,37,2,0.8851674641148325,0.8432935485567066,0.3138726727258117,0.0362052917480468,0.6088156700134277,ok,
talent_cls,Water_Quality_and_Potability,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,Water_Quality_and_Potability.csv,2620,656,8,2,0.6173780487804879,0.5653663329717022,0.6461476616076814,0.0165879726409912,0.8573923110961914,ok,
talent_cls,adult,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/talent_cls/binclass,adult.csv,39073,9769,14,2,0.8563824342307299,0.8513949168600906,0.3068103554056138,0.2773480415344238,28.799214601516724,ok,
