benchmark,dataset_id,dataset_dir,dataset_name,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
openml_cc18_csv,OpenML-ID-1067,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1067.csv,1687,422,21,2,0.8625592417061612,0.8313890237118047,,11.834887266159058,3.810281276702881,ok,
openml_cc18_csv,OpenML-ID-1462,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1462.csv,1097,275,4,2,1.0,1.0,0.00020166318864093787,0.01019430160522461,0.19706273078918457,ok,
openml_cc18_csv,OpenML-ID-1485,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-1485.csv,2080,520,500,2,0.6,0.5998520162782094,0.6694436312119376,0.5963587760925293,11.379770517349243,ok,
openml_cc18_csv,OpenML-ID-15,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-15.csv,559,140,9,2,0.9357142857142857,0.9364076710943241,0.14436096180724922,0.01381826400756836,0.32821106910705566,ok,
openml_cc18_csv,OpenML-ID-18,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-18.csv,1600,400,6,10,0.7575,0.755856424277477,0.567887026504437,0.013009309768676758,0.48477649688720703,ok,
openml_cc18_csv,OpenML-ID-23517,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-23517.csv,77056,19264,21,2,0.5261627906976745,0.5057497438145536,0.6919609629501836,0.7158527374267578,107.36029863357544,ok,
openml_cc18_csv,OpenML-ID-31,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-31.csv,800,200,20,2,0.765,0.7523323853420942,0.4900636482691923,0.0244295597076416,0.44307947158813477,ok,
openml_cc18_csv,OpenML-ID-40670,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-40670.csv,2548,638,180,3,0.8887147335423198,0.8868915567191429,0.3181623979211453,0.23325037956237793,5.207740545272827,ok,
openml_cc18_csv,OpenML-ID-40978,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-40978.csv,2623,656,1558,2,0.9375,0.9301391720592146,0.16273933858501993,2.986333131790161,64.02865719795227,ok,
openml_cc18_csv,OpenML-ID-40996,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-40996.csv,56000,14000,784,10,0.8946428571428572,0.892968007020972,0.2800301513854911,20.705554246902466,1910.8496267795563,ok,
openml_cc18_csv,OpenML-ID-458,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-458.csv,672,169,70,4,1.0,1.0,0.0066844075249948166,0.06115007400512695,0.7602176666259766,ok,
openml_cc18_csv,OpenML-ID-6,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/openml_cc18_72,OpenML-ID-6.csv,16000,4000,16,26,0.98325,0.9832180471180197,0.050351129085447616,0.11786890029907227,19.576192140579224,ok,
tabarena_cls,46911__Bank_Customer_Churn,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46911__Bank_Customer_Churn.csv,8000,2000,10,2,0.875,0.8630997855423922,0.31972517195527106,0.049514055252075195,2.685394287109375,ok,
tabarena_cls,46919__credit_card_clients_default,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46919__credit_card_clients_default.csv,24000,6000,23,2,0.822,0.8010844522457797,0.42632054945680653,0.25925421714782715,14.8684720993042,ok,
tabarena_cls,46929__GiveMeSomeCredit,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46929__GiveMeSomeCredit.csv,120000,30000,10,2,0.9377333333333333,0.921179588021139,0.17637809152177106,0.5980474948883057,225.9952826499939,ok,
tabarena_cls,46938__Is-this-a-good-customer,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46938__Is-this-a-good-customer.csv,1378,345,13,2,0.8869565217391304,0.8338208775796434,0.30822539426083206,0.022770166397094727,0.5645411014556885,ok,
tabarena_cls,46952__qsar-biodeg,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46952__qsar-biodeg.csv,843,211,41,2,0.8909952606635071,0.888478952838001,0.2584677962402394,0.039644479751586914,0.6636438369750977,ok,
tabarena_cls,46963__website_phishing,/vast/users/guangyi.chen/causal_group/zijian.li/dmir_crl/lyh/TabICL/dataset/tabarena/cls,46963__website_phishing.csv,1082,271,9,3,0.8892988929889298,0.8897475106657917,0.28418858315477463,0.017808198928833008,0.4412696361541748,ok,
