dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-11,500,125,4,3,0.976,0.9765366459627329,0.05271012596852251,11.29406452178955,1.7240731716156006,ok,
OpenML-ID-14,1600,400,76,10,0.8825,0.8818797402211057,0.31146667561665053,0.45716238021850586,1.0860989093780518,ok,
OpenML-ID-1486,27572,6893,118,2,0.9677934136080081,0.9677237512546266,0.08591888725751406,1.4943857192993164,159.60795712471008,ok,
OpenML-ID-44,3680,921,57,2,0.9446254071661238,0.9442786576797646,0.14609840607896268,0.30762529373168945,2.038282871246338,ok,
OpenML-ID-4534,8844,2211,30,2,0.9742198100407056,0.9741954251675333,0.058561130720063144,0.32159876823425293,3.59242582321167,ok,
OpenML-ID-4538,7898,1975,32,5,0.759493670886076,0.7545032248479401,0.6671733077018591,0.3302958011627197,3.333082675933838,ok,
OpenML-ID-458,672,169,70,4,0.9881656804733728,0.9881656804733728,0.027272419468773797,0.26941967010498047,0.44612836837768555,ok,
OpenML-ID-46,2552,638,60,3,0.9404388714733543,0.9393703818312138,0.2026123787802895,0.29350805282592773,1.4609527587890625,ok,
OpenML-ID-469,637,160,4,6,0.21875,0.20508141076049466,1.7667447226781636,0.22248458862304688,0.11360478401184082,ok,
OpenML-ID-50,766,192,9,2,0.9739583333333334,0.9737089603283174,0.0686744759672019,0.2117598056793213,0.15079474449157715,ok,
OpenML-ID-54,676,170,18,4,0.8588235294117647,0.857898255269547,0.26775814535981074,0.2180318832397461,0.18047809600830078,ok,
OpenML-ID-554,56000,14000,784,10,0.981,0.9809933750258439,0.06075119204806189,29.22501540184021,1617.1767930984497,ok,
