dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-1049,1166,292,37,2,0.9075342465753424,0.9001695636473404,0.1779252650656588,11.371283292770386,2.0506112575531006,ok,
OpenML-ID-1468,864,216,856,9,0.949074074074074,0.949276242351217,0.4363783404303285,1.1440787315368652,6.41717529296875,ok,
OpenML-ID-18,1600,400,6,10,0.7575,0.7546217475781982,0.4959468231866492,0.2817347049713135,0.2635104656219482,ok,
OpenML-ID-188,588,148,19,5,0.6959459459459459,0.6972521222521223,0.6515463213572906,0.2501969337463379,0.1649303436279297,ok,
OpenML-ID-22,1600,400,47,10,0.8375,0.8336040929900297,0.2961036745394498,0.2657966613769531,0.7571778297424316,ok,
OpenML-ID-23,1178,295,9,3,0.5898305084745763,0.585003465003465,0.8748254148447091,0.2304670810699463,0.2255871295928955,ok,
OpenML-ID-23381,400,100,12,2,0.6,0.5201663201663201,0.6586882094017628,0.2151720523834228,0.1031076908111572,ok,
OpenML-ID-23517,77056,19264,21,2,0.5148982558139535,0.5034931938520433,0.6926587033827498,0.9193248748779296,100.850506067276,ok,
OpenML-ID-41027,35855,8964,6,3,0.8609995537706381,0.8590948520887849,0.2344810660885799,0.2992322444915771,21.796914100646973,ok,
OpenML-ID-4134,3000,751,1776,2,0.7669773635153129,0.7661492739815022,0.4704966098382867,3.9418249130249023,279.5088908672333,ok,
OpenML-ID-1067,1687,422,21,2,0.8791469194312796,0.8597081799595768,0.3051207650821642,10.98861002922058,2.358257532119751,ok,
OpenML-ID-1464,598,150,4,2,0.7933333333333333,0.7725189517002383,0.4486277054865329,0.2858479022979736,0.06990647315979,ok,
OpenML-ID-1480,466,117,10,2,0.6666666666666666,0.6265938069216758,0.523474598033766,0.2739119529724121,0.1128139495849609,ok,
OpenML-ID-1485,2080,520,500,2,0.6461538461538462,0.6452670136880663,0.6578779358719252,0.8359987735748291,9.66994023323059,ok,
OpenML-ID-29,552,138,15,2,0.8405797101449275,0.8410846308264787,0.3770004782729891,0.2416505813598632,0.1438813209533691,ok,
OpenML-ID-3,2556,640,36,2,0.9953125,0.9953128095413956,0.0202154756681375,0.274526834487915,1.0258166790008545,ok,
OpenML-ID-300,6237,1560,617,26,0.9621794871794872,0.9622049234858148,0.1359445225576793,2.148387670516968,184.34664726257324,ok,
OpenML-ID-6,16000,4000,16,26,0.98625,0.9862513428835368,0.0376689876386852,0.3652949333190918,20.80813765525818,ok,
OpenML-ID-11,500,125,4,3,0.976,0.9765366459627328,0.0527101259685225,11.29406452178955,1.7240731716156006,ok,
OpenML-ID-14,1600,400,76,10,0.8825,0.8818797402211057,0.3114666756166505,0.4571623802185058,1.0860989093780518,ok,
OpenML-ID-1486,27572,6893,118,2,0.967793413608008,0.9677237512546266,0.085918887257514,1.4943857192993164,159.60795712471008,ok,
OpenML-ID-44,3680,921,57,2,0.9446254071661238,0.9442786576797646,0.1460984060789626,0.3076252937316894,2.038282871246338,ok,
OpenML-ID-4534,8844,2211,30,2,0.9742198100407056,0.9741954251675332,0.0585611307200631,0.3215987682342529,3.59242582321167,ok,
OpenML-ID-4538,7898,1975,32,5,0.759493670886076,0.7545032248479401,0.6671733077018591,0.3302958011627197,3.333082675933838,ok,
OpenML-ID-458,672,169,70,4,0.9881656804733728,0.9881656804733728,0.0272724194687737,0.2694196701049804,0.4461283683776855,ok,
OpenML-ID-46,2552,638,60,3,0.9404388714733544,0.9393703818312138,0.2026123787802895,0.2935080528259277,1.4609527587890625,ok,
OpenML-ID-469,637,160,4,6,0.21875,0.2050814107604946,1.7667447226781636,0.2224845886230468,0.1136047840118408,ok,
OpenML-ID-50,766,192,9,2,0.9739583333333334,0.9737089603283174,0.0686744759672019,0.2117598056793213,0.1507947444915771,ok,
OpenML-ID-54,676,170,18,4,0.8588235294117647,0.857898255269547,0.2677581453598107,0.2180318832397461,0.1804780960083007,ok,
OpenML-ID-554,56000,14000,784,10,0.981,0.980993375025844,0.0607511920480618,29.22501540184021,1617.1767930984497,ok,
OpenML-ID-12,1600,400,216,10,0.97,0.969958886341,0.1213175922313578,11.492555141448976,4.37262773513794,ok,
OpenML-ID-1487,2027,507,72,2,0.9467455621301776,0.9303595812471552,0.1339373523915375,0.3544642925262451,1.3332252502441406,ok,
OpenML-ID-151,36249,9063,8,2,0.9040052962595168,0.9039344218481936,0.2230147933122202,0.3694195747375488,22.58083701133728,ok,
OpenML-ID-40701,4000,1000,20,2,0.95,0.9480188502923664,0.154697644203349,0.2373945713043213,1.1992065906524658,ok,
OpenML-ID-40923,73600,18400,1024,46,0.9646739130434784,0.9646587870616338,0.1516653316881004,29.14932322502136,2381.77556681633,ok,
OpenML-ID-1063,417,105,21,2,0.819047619047619,0.8004353741496599,0.4893796194822581,11.142274856567385,1.893626928329468,ok,
OpenML-ID-1461,36168,9043,16,2,0.9099856242397436,0.9047966034606152,0.1933743526627054,0.6554555892944336,24.46530270576477,ok,
OpenML-ID-40668,54045,13512,42,3,0.7961811722912966,0.749816171558996,0.5086801574676088,1.1004412174224854,61.25995969772339,ok,
OpenML-ID-40979,1600,400,240,10,0.965,0.9649360256432912,0.1295865965589023,0.4574000835418701,3.29797887802124,ok,
OpenML-ID-40982,1552,389,27,7,0.8149100257069408,0.8161900391309389,0.4798294723618169,0.2638230323791504,0.5107240676879883,ok,
OpenML-ID-40983,3871,968,5,2,0.987603305785124,0.9872440491408032,0.0291562345455387,0.2391169071197509,0.4573595523834228,ok,
OpenML-ID-40984,1848,462,16,7,0.9393939393939394,0.9394362047787472,0.1647681142639498,0.2342638969421386,0.4567265510559082,ok,
OpenML-ID-40994,432,108,18,2,0.9351851851851852,0.9156688839615668,0.1753840184429357,0.2246472835540771,0.1282064914703369,ok,
OpenML-ID-40996,56000,14000,784,10,0.8974285714285715,0.89576514141212,0.2773994183982415,19.55612635612488,1706.8322083950045,ok,
OpenML-ID-1053,8708,2177,21,2,0.8208543867707855,0.7837021984936032,0.4195043198389945,11.580976247787476,4.513037204742432,ok,
