dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-1459,8174,2044,7,10,0.8590998043052838,0.8588794623495932,0.3641430105749153,14.180445194244385,4.803550958633423,ok,
OpenML-ID-27,294,74,22,2,0.8783783783783784,0.8715297822093938,0.4184017817793266,0.2791388034820556,0.1071724891662597,ok,
OpenML-ID-31,800,200,20,2,0.765,0.7541888619854721,0.4925365209702693,0.2891738414764404,0.2222003936767578,ok,
OpenML-ID-41027,35855,8964,6,3,0.8609995537706381,0.8590948520887849,0.2344810660885799,0.3606319427490234,21.390563011169437,ok,
OpenML-ID-4134,3000,751,1776,2,0.7669773635153129,0.7661492739815022,0.4704966098382867,3.862303972244263,225.1076078414917,ok,
OpenML-ID-1043,3649,913,48,2,0.8389923329682366,0.8302868754766626,0.3452766714634986,14.208706617355348,4.429293394088745,ok,
OpenML-ID-23512,78440,19610,28,2,0.7313105558388577,0.7310958999411408,0.522030815198546,1.3928813934326172,109.2098867893219,ok,
OpenML-ID-43945,30779,7695,8,2,0.8965562053281352,0.8965344823895809,0.2427226030583754,0.33074951171875,16.570894956588745,ok,
OpenML-ID-43973,2537,635,5,2,0.8976377952755905,0.8975091883654658,0.2338680993414875,0.2142839431762695,0.2911016941070556,ok,
OpenML-ID-4538,7898,1975,32,5,0.759493670886076,0.7545032248479401,0.6671733077018591,0.3225705623626709,3.3446762561798096,ok,
OpenML-ID-46,2552,638,60,3,0.9310344827586208,0.9299766927939912,0.2177445361019207,0.2805867195129394,1.4677188396453855,ok,
OpenML-ID-470,537,135,9,2,0.6962962962962963,0.5974081940468495,0.607527373318395,0.2263197898864746,0.1167306900024414,ok,
OpenML-ID-54,676,170,18,4,0.8588235294117647,0.857898255269547,0.2677581453598107,0.2196187973022461,0.1822514533996582,ok,
OpenML-ID-846,13279,3320,18,2,0.8987951807228916,0.8962584749479081,0.2437255879099122,0.3114585876464844,4.979368209838867,ok,
OpenML-ID-934,924,232,5,2,0.9439655172413792,0.9437653012950198,0.121017446828367,0.2099390029907226,0.1116957664489746,ok,
OpenML-ID-999,180,46,69,2,0.9130434782608696,0.9067632850241544,0.2118949746646394,0.2431094646453857,0.1347172260284423,ok,
OpenML-ID-10,118,30,18,4,0.9,0.8992546583850931,0.2200708814679463,13.885525226593018,3.2426235675811768,ok,
OpenML-ID-1486,27572,6893,118,2,0.9685187871753952,0.9684432872441872,0.0838875268153263,1.5336482524871826,144.5245795249939,ok,
OpenML-ID-1468,864,216,856,9,0.949074074074074,0.949276242351217,0.4364118999638758,14.932062149047852,8.232769966125488,ok,
OpenML-ID-41159,16000,4000,4296,2,0.59975,0.4496953430223472,0.6707144315297755,32.538429260253906,2424.662136554718,ok,
OpenML-ID-1067,1687,422,21,2,0.8791469194312796,0.8597081799595768,0.3051207650821642,14.18113112449646,3.322479009628296,ok,
OpenML-ID-1494,844,211,41,2,0.8957345971563981,0.8930647875788433,0.2687676519859285,0.2887525558471679,0.3650789260864258,ok,
OpenML-ID-1565,235,59,13,5,0.6949152542372882,0.6402791625124625,0.7565765270622656,0.2388150691986084,0.0768496990203857,ok,
OpenML-ID-22,1600,400,47,10,0.8175,0.8128111259772204,0.2974943721561296,0.2564539909362793,0.7472856044769287,ok,
OpenML-ID-29,552,138,15,2,0.8405797101449275,0.8410846308264787,0.3760049913183144,0.2246639728546142,0.1432714462280273,ok,
OpenML-ID-333,444,112,6,2,1.0,1.0,1.4882700959096982e-05,0.2108809947967529,0.078754186630249,ok,
OpenML-ID-40981,552,138,14,2,0.8405797101449275,0.8410829307568439,0.333245035355481,0.2190163135528564,0.1394932270050048,ok,
OpenML-ID-41143,2387,597,144,2,0.7973199329983249,0.7916498820761921,0.4194777034385212,0.3734657764434814,3.000099897384644,ok,
OpenML-ID-41150,104051,26013,50,2,0.9447968323530542,0.9449084034411248,0.139601793578345,2.018316507339477,370.8167502880096,ok,
OpenML-ID-14,1600,400,76,10,0.8825,0.8820311259467887,0.3114015173088424,14.208364725112917,3.8359315395355225,ok,
OpenML-ID-1567,820007,205002,10,10,0.8482209929659222,0.8311945132266424,0.4000235882370004,4.00447416305542,10369.19431734085,ok,
OpenML-ID-11,500,125,4,3,0.976,0.9765366459627328,0.0527101259685225,13.88003921508789,3.2827768325805664,ok,
OpenML-ID-1493,1279,320,64,100,0.90625,0.905285218253968,0.3493484443706943,0.4347012042999267,4.478274822235107,ok,
OpenML-ID-41147,340192,85048,78,2,0.6507736807449911,0.648711001108146,0.628695687098804,12.90274691581726,2573.697135210037,ok,
OpenML-ID-1169,431506,107877,7,2,0.6614106806826293,0.6510938371872362,0.6140184882581599,15.707866907119753,2519.660611629486,ok,
