dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
BNG(tic-tac-toe),31492,7874,9,2,0.8155956311912624,0.8125172322229768,0.408036259821164,11.54647946357727,19.0723614692688,ok,
FOREX_audchf-day-High,1466,367,10,2,0.7465940054495913,0.7465940054495913,0.5080450014791352,0.3022699356079101,0.2928638458251953,ok,
FOREX_audjpy-hour-High,35060,8765,10,2,0.7127210496292071,0.7122609088872781,0.5621111010575918,0.451411485671997,22.072181463241577,ok,
Firm-Teacher_Clave-Direction_Classification,8640,2160,16,4,0.8773148148148148,0.8758970947633912,0.3203246998540086,0.3563961982727051,2.6528139114379883,ok,
HR_Analytics_Job_Change_of_Data_Scientists,15326,3832,13,2,0.8014091858037579,0.8028477855805842,0.4312662170482995,0.3677151203155517,5.674139738082886,ok,
Indian_pines,7315,1829,220,8,0.9529797703663204,0.9527204776427298,0.1240646232114848,0.8628168106079102,14.335313558578491,ok,
Telecom_Churn_Dataset,2666,667,17,2,0.952023988005997,0.9501997766716735,0.1636066951406222,0.2556276321411133,0.702751874923706,ok,
Water_Quality_and_Potability,2620,656,8,2,0.649390243902439,0.5824393521875463,0.6264326478175862,0.2420601844787597,0.50832200050354,ok,
Wilt,3856,965,5,2,0.9927461139896372,0.9926443320683423,0.033501927934663,0.2257287502288818,0.4530887603759765,ok,
abalone,3341,836,8,3,0.6507177033492823,0.6542928939874237,0.7480812132433339,0.2327945232391357,0.6552164554595947,ok,
accelerometer,122403,30601,4,4,0.7412829646089997,0.7390422144149531,0.5388560768948939,0.4502549171447754,225.6765477657318,ok,
kropt,22444,5612,6,18,0.8560228082679971,0.8551605196305758,0.417006575287463,0.3066482543945312,30.196407318115234,ok,
one-hundred-plants-texture,1279,320,64,100,0.90625,0.905285218253968,0.3493662008283918,0.2757525444030761,4.345309734344482,ok,
pc1,887,222,21,2,0.9414414414414416,0.9330171853150268,0.1533978417524387,0.2285444736480713,0.2538740634918213,ok,
pc3,1250,313,37,2,0.9009584664536742,0.8623569270071921,0.2600228684461432,0.2476396560668945,0.4968049526214599,ok,
phoneme,4323,1081,5,2,0.9037927844588344,0.9032395738863194,0.2243808266794834,0.2225010395050048,0.5130224227905273,ok,
qsar,844,211,40,2,0.8957345971563981,0.894528318071669,0.2796384761595986,0.3983578681945801,0.3595161437988281,ok,
rice_cammeo_and_osmancik,3048,762,7,2,0.9291338582677166,0.9290158147227644,0.192884517224034,0.2221829891204834,0.5184698104858398,ok,
ringnorm,5920,1480,20,2,0.9804054054054054,0.9804006889682948,0.0639673932959034,0.2609195709228515,1.8446531295776367,ok,
shuttle,46400,11600,9,7,0.9994827586206896,0.9994652375985246,0.0017596294497954,0.4169092178344726,35.719266176223755,ok,
ASP-POTASSCO-classification,1035,259,141,11,0.4324324324324324,0.4147007205304555,1.6047226936255503,11.416040658950806,4.11947226524353,ok,
