dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
BNG(tic-tac-toe),31492,7874,9,2,0.8155956311912624,0.8125172322229768,0.40803625982116404,11.54647946357727,19.0723614692688,ok,
FOREX_audchf-day-High,1466,367,10,2,0.7465940054495913,0.7465940054495913,0.5080450014791352,0.30226993560791016,0.2928638458251953,ok,
FOREX_audjpy-hour-High,35060,8765,10,2,0.7127210496292071,0.7122609088872781,0.5621111010575918,0.45141148567199707,22.072181463241577,ok,
Firm-Teacher_Clave-Direction_Classification,8640,2160,16,4,0.8773148148148148,0.8758970947633912,0.32032469985400863,0.3563961982727051,2.6528139114379883,ok,
HR_Analytics_Job_Change_of_Data_Scientists,15326,3832,13,2,0.8014091858037579,0.8028477855805842,0.4312662170482995,0.36771512031555176,5.674139738082886,ok,
Indian_pines,7315,1829,220,8,0.9529797703663204,0.9527204776427298,0.12406462321148484,0.8628168106079102,14.335313558578491,ok,
Telecom_Churn_Dataset,2666,667,17,2,0.952023988005997,0.9501997766716735,0.16360669514062226,0.2556276321411133,0.702751874923706,ok,
Water_Quality_and_Potability,2620,656,8,2,0.649390243902439,0.5824393521875463,0.6264326478175862,0.24206018447875977,0.50832200050354,ok,
Wilt,3856,965,5,2,0.9927461139896373,0.9926443320683425,0.03350192793466303,0.22572875022888184,0.45308876037597656,ok,
abalone,3341,836,8,3,0.6507177033492823,0.6542928939874237,0.7480812132433339,0.23279452323913574,0.6552164554595947,ok,
accelerometer,122403,30601,4,4,0.7412829646089997,0.7390422144149531,0.5388560768948939,0.4502549171447754,225.6765477657318,ok,
kropt,22444,5612,6,18,0.8560228082679971,0.8551605196305758,0.417006575287463,0.30664825439453125,30.196407318115234,ok,
one-hundred-plants-texture,1279,320,64,100,0.90625,0.9052852182539681,0.34936620082839187,0.27575254440307617,4.345309734344482,ok,
pc1,887,222,21,2,0.9414414414414415,0.9330171853150269,0.1533978417524387,0.2285444736480713,0.2538740634918213,ok,
pc3,1250,313,37,2,0.9009584664536742,0.8623569270071921,0.2600228684461432,0.24763965606689453,0.49680495262145996,ok,
phoneme,4323,1081,5,2,0.9037927844588344,0.9032395738863194,0.2243808266794834,0.22250103950500488,0.5130224227905273,ok,
qsar,844,211,40,2,0.8957345971563981,0.894528318071669,0.2796384761595986,0.3983578681945801,0.3595161437988281,ok,
rice_cammeo_and_osmancik,3048,762,7,2,0.9291338582677166,0.9290158147227643,0.19288451722403405,0.2221829891204834,0.5184698104858398,ok,
ringnorm,5920,1480,20,2,0.9804054054054054,0.9804006889682947,0.06396739329590344,0.26091957092285156,1.8446531295776367,ok,
shuttle,46400,11600,9,7,0.9994827586206897,0.9994652375985246,0.0017596294497954877,0.41690921783447266,35.719266176223755,ok,
