dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,1035,259,141,11,0.42857142857142855,0.41540390636885993,1.6296181867674548,11.82102084159851,4.272352933883667,ok,
Amazon_employee_access,26215,6554,7,2,0.9452242905096124,0.9329816396884991,0.16885064214620052,11.858421564102173,11.305315256118774,ok,
BLE_RSSI_dataset_for_Indoor_localization,7987,1997,3,3,0.7381071607411117,0.7375680343875796,0.5823576685144582,11.591700792312622,2.789976119995117,ok,
BNG(breast-w),31492,7874,9,2,0.9881889763779528,0.9881977134052707,0.033316017200964214,11.863108396530151,17.20626711845398,ok,
BNG(cmc),44236,11060,9,3,0.5877938517179023,0.5863105867937015,0.8755871067941892,11.925594806671143,29.898706197738647,ok,
BNG(tic-tac-toe),31492,7874,9,2,0.8148336296672594,0.8119556930246825,0.4083184927263685,11.87365436553955,17.1493980884552,ok,
Bank_Customer_Churn_Dataset,8000,2000,10,2,0.8765,0.8654231312914972,0.3193629211259442,11.812142848968506,3.7154738903045654,ok,
Basketball_c,1072,268,11,2,0.7126865671641791,0.7112085072156479,0.578164680342582,11.65156364440918,1.9674556255340576,ok,
CDC_Diabetes_Health_Indicators,202944,50736,21,2,0.8672343109429203,0.829350119866572,0.3121746270088201,13.59090280532837,537.977733373642,ok,
California-Housing-Classification,16512,4128,8,2,0.9127906976744186,0.912790083533052,0.20844186143437007,11.871198654174805,7.082090854644775,ok,
Cardiovascular-Disease-dataset,56000,14000,11,2,0.7344285714285714,0.734044545060732,0.5434980406151338,12.025745630264282,46.83794093132019,ok,
Click_prediction_small,31958,7990,3,2,0.8317897371714643,0.7558979133273316,0.4388284831094073,11.782647848129272,7.362940311431885,ok,
Credit_c,80000,20000,22,3,0.7954,0.7955862499768269,0.48993056794764805,12.600520372390747,93.34813690185547,ok,
Customer_Personality_Analysis,1792,448,24,2,0.8839285714285714,0.8706553447746426,0.2684325785190537,11.784985065460205,2.475318670272827,ok,
Data_Science_for_Good_Kiva_Crowdfunding,536964,134241,11,4,0.9646456745703622,0.9646441913395079,0.09111761855362241,15.199560642242432,3560.5663874149323,ok,
Diabetic_Retinopathy_Debrecen,920,231,19,2,0.7489177489177489,0.7485577064444988,0.5030545638721889,11.57808542251587,2.1237173080444336,ok,
E-CommereShippingData,8799,2200,10,2,0.6763636363636364,0.6660411925740071,0.5062525258808198,11.679709672927856,3.9495692253112793,ok,
Employee,3722,931,8,2,0.8549946294307197,0.8488021000578317,0.3631248456111168,11.668575763702393,2.5944015979766846,ok,
FICO-HELOC-cleaned,7896,1975,23,2,0.7473417721518988,0.7472183856438411,0.5172324465114588,11.826256275177002,4.4504876136779785,ok,
FOREX_audcad-day-High,1467,367,10,2,0.7493188010899182,0.7488223952853943,0.5163878282544593,11.715354681015015,2.228188991546631,ok,
FOREX_audcad-hour-High,35060,8765,10,2,0.7118083285795779,0.7118252918733646,0.5594384676488028,11.879390478134155,20.388201236724854,ok,
FOREX_audchf-day-High,1466,367,10,2,0.7465940054495913,0.7465940054495913,0.5092253109109048,11.622581243515015,2.0508148670196533,ok,
FOREX_audjpy-day-High,1465,367,10,2,0.7629427792915532,0.7625153149838787,0.4956531302506766,11.664087772369385,2.1438915729522705,ok,
FOREX_audjpy-hour-High,35060,8765,10,2,0.7098687963491158,0.7093840646402269,0.5634840023511035,11.939146280288696,20.38115167617798,ok,
FOREX_audsgd-hour-High,35060,8765,10,2,0.6852253280091272,0.6847159213037436,0.5923210843112008,11.937323331832886,20.53243613243103,ok,
FOREX_audusd-hour-High,35060,8765,10,2,0.6824871648602396,0.682763394863335,0.5899797397450202,12.019894361495972,20.582054138183594,ok,
FOREX_cadjpy-day-High,1467,367,10,2,0.7138964577656676,0.7137434441720493,0.5670928643337575,11.696632146835327,2.059486150741577,ok,
FOREX_cadjpy-hour-High,35060,8765,10,2,0.698687963491158,0.6982964887782257,0.5806538749558733,11.822693824768066,20.373303174972534,ok,
Firm-Teacher_Clave-Direction_Classification,8640,2160,16,4,0.8768518518518519,0.8753217223784123,0.3208889480511124,11.838427305221558,4.521941423416138,ok,
Fitness_Club_c,1200,300,6,2,0.7933333333333333,0.7897399116134175,0.45412521679681805,11.648619651794434,1.9175434112548828,ok,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,1280,320,20,2,0.66875,0.6617605998962945,0.6150876705753063,11.686240196228027,2.107928514480591,ok,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,1280,320,20,2,0.68125,0.6808011265842591,0.547993379711756,11.62443208694458,2.0786592960357666,ok,
Gender_Gap_in_Spanish_WP,3796,950,13,3,0.6105263157894737,0.5604572750331756,0.7955761470441232,11.753351926803589,2.8711483478546143,ok,
GesturePhaseSegmentationProcessed,7898,1975,32,5,0.7544303797468355,0.7501093809900197,0.6714988169969879,11.889439821243286,4.844206809997559,ok,
HR_Analytics_Job_Change_of_Data_Scientists,15326,3832,13,2,0.8019311064718163,0.8033659254345116,0.43115516831981787,11.83997130393982,6.88251256942749,ok,
IBM_HR_Analytics_Employee_Attrition_and_Performance,1176,294,31,2,0.8571428571428571,0.8095832590214613,0.3635770249658994,11.717424392700195,2.34096097946167,ok,
INNHotelsGroup,29020,7255,17,2,0.9015851137146795,0.9009206951624182,0.2303859983302473,12.058273077011108,16.73822331428528,ok,
Indian_pines,7315,1829,220,8,0.9589939857845817,0.9587199105928944,0.11750402417512316,12.493419647216797,14.546358585357666,ok,
JapaneseVowels,7968,1993,14,9,0.9989964877069744,0.9989966616190659,0.003078998084842355,11.829036951065063,4.072478771209717,ok,
KDDCup09_upselling,4102,1026,49,2,0.804093567251462,0.8037802273084078,0.3778711173827165,11.773399829864502,3.703331708908081,ok,
MIC,1319,330,104,2,0.8606060606060606,0.8086630257160058,0.2974964276865921,11.944871187210083,2.9252665042877197,ok,
MagicTelescope,15216,3804,9,2,0.8838065194532071,0.881828646753103,0.281701746896622,11.746729135513306,6.360673904418945,ok,
Marketing_Campaign,1792,448,27,2,0.8883928571428571,0.8789973578717201,0.24689526081316418,11.758360862731934,2.4524447917938232,ok,
Mobile_Price_Classification,1600,400,20,4,0.945,0.9449464946494649,0.15428645377939115,11.706777334213257,2.1903023719787598,ok,
National_Health_and_Nutrition_Health_Survey,1822,456,7,2,0.8399122807017544,0.7994757710377405,0.37856389508778643,11.687695026397705,2.070199728012085,ok,
PhishingWebsites,8844,2211,30,2,0.973767526006332,0.9737591380934735,0.062117064670426415,11.878231763839722,5.156681299209595,ok,
PieChart3,861,216,37,2,0.8703703703703703,0.8143564356435644,0.2793205139828788,11.712486982345581,2.2496495246887207,ok,
Pima_Indians_Diabetes_Database,614,154,8,2,0.7467532467532467,0.7389951134515554,0.45677156685957004,11.617764711380005,1.9491486549377441,ok,
PizzaCutter3,834,209,37,2,0.8803827751196173,0.8243787817913973,0.2629479830761194,11.613058805465698,2.0686044692993164,ok,
Pumpkin_Seeds,2000,500,12,2,0.874,0.8738274728054641,0.2989120222583325,11.67529582977295,2.1737897396087646,ok,
QSAR_biodegradation,843,211,41,2,0.8862559241706162,0.8833434046314654,0.2760544676286615,11.747761964797974,2.2695517539978027,ok,
Rain_in_Australia,116368,29092,18,3,0.8504743572116046,0.8418975730256271,0.3739608663948407,12.825494527816772,183.75466060638428,ok,
SDSS17,80000,20000,12,3,0.97635,0.9762232567244857,0.07627996600744306,12.174996614456177,89.90565490722656,ok,
Satellite,4080,1020,36,2,0.9921568627450981,0.9907463841469554,0.02671003864158487,11.776769399642944,3.535003185272217,ok,
Smoking_and_Drinking_Dataset_with_body_signal,793076,198270,23,2,0.7394764714782872,0.7394054670968625,0.5213992132970507,21.61446189880371,8483.00539135933,ok,
Telecom_Churn_Dataset,2666,667,17,2,0.95952023988006,0.95808701613062,0.1620457090412095,11.791535139083862,2.758772373199463,ok,
UJI_Pen_Characters,1091,273,80,35,0.5677655677655677,0.5588116668983861,1.4778744745517036,11.779897928237915,4.387302398681641,ok,
Water_Quality_and_Potability,2620,656,8,2,0.6509146341463414,0.5835548433576456,0.6265038962594252,11.532347440719604,2.4534177780151367,ok,
Wilt,3856,965,5,2,0.9927461139896373,0.9926443320683425,0.03338962713298019,11.560386180877686,2.3120827674865723,ok,
abalone,3341,836,8,3,0.6507177033492823,0.6541755658385412,0.7480197494267292,11.75174593925476,2.6475675106048584,ok,
accelerometer,122403,30601,4,4,0.7411849285971047,0.7389538623792646,0.538907927169672,11.932587385177612,191.83078527450562,ok,
ada,3317,830,48,2,0.8421686746987952,0.8329446001587701,0.32924843428849576,11.815339088439941,3.3981337547302246,ok,
ada_agnostic,3649,913,48,2,0.8313253012048193,0.8248951158084177,0.35563041829059394,11.784234046936035,3.511324882507324,ok,
ada_prior,3649,913,14,2,0.8422782037239869,0.8342747821965313,0.35571847073509216,11.770840644836426,2.6961863040924072,ok,
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1600,400,7,2,0.61,0.59544,0.6321747169818412,11.580928087234497,2.093252658843994,ok,
allbp,3017,755,29,3,0.9788079470198675,0.9745560250231142,0.06466327793367324,11.787712812423706,2.9567980766296387,ok,
allrep,3017,755,29,4,0.9854304635761589,0.9831416823013607,0.040424607852142365,11.707374095916748,2.7690699100494385,ok,
