dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-1169,431506,107877,7,2,0.6611325861861194,0.650364077467192,0.6141536225240727,13.215571403503418,2386.954997062683,ok,
OpenML-ID-14,1600,400,76,10,0.8825,0.8811271724058736,0.2956516197072789,11.731207370758057,3.0139997005462646,ok,
OpenML-ID-1565,235,59,13,5,0.6949152542372882,0.6402791625124625,0.7551178800335685,0.2727055549621582,0.1771492958068847,ok,
OpenML-ID-22,1600,400,47,10,0.8225,0.818364025576206,0.3093534819624081,0.3273448944091797,0.9058895111083984,ok,
OpenML-ID-31,800,200,20,2,0.77,0.7585239085239085,0.4944226632583528,0.2860922813415527,0.312626838684082,ok,
OpenML-ID-41027,35855,8964,6,3,0.8623382418563141,0.8605223076019726,0.2351800582669531,0.3845629692077636,21.84457230567932,ok,
OpenML-ID-4134,3000,751,1776,2,0.7842876165113183,0.7834781600876684,0.4663340673717496,3.900083541870117,68.19464182853699,ok,
OpenML-ID-1459,8174,2044,7,10,0.8605675146771037,0.8602971161128301,0.3596668769503657,11.789079666137695,3.879202365875244,ok,
OpenML-ID-27,294,74,22,2,0.8783783783783784,0.8715297822093938,0.4150485229252345,0.2795770168304443,0.1987810134887695,ok,
OpenML-ID-29,552,138,15,2,0.8405797101449275,0.8410846308264787,0.3777167543273382,0.2504119873046875,0.2315516471862793,ok,
OpenML-ID-333,444,112,6,2,1.0,1.0,1.5037040104517763e-05,0.2171432971954345,0.139578104019165,ok,
OpenML-ID-40981,552,138,14,2,0.8405797101449275,0.8410829307568439,0.3332313036752871,0.2223706245422363,0.2283895015716552,ok,
OpenML-ID-41143,2387,597,144,2,0.7922948073701842,0.7866047625254031,0.419544091860393,0.3889436721801758,3.3577799797058105,ok,
OpenML-ID-41159,16000,4000,4296,2,0.59975,0.4496953430223472,0.6685566370249677,32.74692344665527,2795.8750700950623,ok,
OpenML-ID-11,500,125,4,3,0.976,0.9765366459627328,0.0527340941358825,11.491623163223268,1.81833815574646,ok,
OpenML-ID-1493,1279,320,64,100,0.91875,0.9186160714285714,0.3464684492317317,0.4641585350036621,4.744281530380249,ok,
OpenML-ID-41147,340192,85048,78,2,0.6538895682438153,0.6523781143258723,0.6275821857868662,12.461138010025024,2765.690321683884,ok,
OpenML-ID-10,118,30,18,4,0.9,0.8992546583850931,0.2149494262294078,11.097829103469849,2.014770269393921,ok,
OpenML-ID-1486,27572,6893,118,2,0.9683737124619178,0.9682603348501508,0.0828451051385925,1.549774408340454,39.538620471954346,ok,
OpenML-ID-43945,30779,7695,8,2,0.8966861598440545,0.8966624742756918,0.2424298602071861,0.3256304264068603,16.989474773406982,ok,
OpenML-ID-43973,2537,635,5,2,0.8944881889763779,0.8943556249305571,0.23475714843245,0.2120604515075683,0.3887991905212402,ok,
OpenML-ID-4538,7898,1975,32,5,0.7544303797468355,0.7501093809900197,0.671548443970633,0.3185985088348388,3.780142545700073,ok,
OpenML-ID-46,2552,638,60,3,0.9482758620689656,0.947667644475628,0.1973109943786744,0.2779691219329834,1.761467456817627,ok,
OpenML-ID-470,537,135,9,2,0.7037037037037037,0.6121212121212122,0.6071914741275053,0.2078433036804199,0.190293550491333,ok,
OpenML-ID-54,676,170,18,4,0.8705882352941177,0.8694254510921179,0.2637354168059564,0.2148957252502441,0.2819006443023681,ok,
OpenML-ID-846,13279,3320,18,2,0.8990963855421686,0.8965113225536291,0.2431682029525524,0.3042061328887939,5.383857488632202,ok,
OpenML-ID-934,924,232,5,2,0.9396551724137931,0.9396551724137931,0.1207512021851188,0.2061543464660644,0.1662709712982177,ok,
OpenML-ID-999,180,46,69,2,0.9130434782608696,0.9067632850241544,0.17803853117606,0.2398335933685302,0.2393245697021484,ok,
OpenML-ID-1067,1687,422,21,2,0.8815165876777251,0.8616718765755772,0.3057256456371984,11.737885236740112,2.358959436416626,ok,
OpenML-ID-1494,844,211,41,2,0.90521327014218,0.9032571176712376,0.2735616182619182,0.3080658912658691,0.4899849891662597,ok,
OpenML-ID-1567,820007,205002,10,10,0.8522599779514346,0.8355764320420521,0.389190750908545,3.987092256546021,9953.785389900208,ok,
OpenML-ID-1468,864,216,856,9,0.9398148148148148,0.940217623692503,0.4111186766599253,12.52120590209961,8.038666486740112,ok,
OpenML-ID-41150,104051,26013,50,2,0.9447583900357512,0.9448054464585528,0.1406760322571446,2.0661826133728027,203.6610951423645,ok,
OpenML-ID-1043,3649,913,48,2,0.8389923329682366,0.8306449876707761,0.3452510811570229,11.74597716331482,3.684969902038574,ok,
OpenML-ID-23512,78440,19610,28,2,0.7325854156042835,0.7323300640253894,0.5217166127146332,1.413346529006958,110.91205430030824,ok,
