dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-11,500,125,4,3,0.976,0.9765366459627329,0.052734094135882544,10.886879920959473,1.993586778640747,ok,
OpenML-ID-1486,27572,6893,118,2,0.9683737124619178,0.9682603348501507,0.08284510513859257,1.5256671905517578,51.43512272834778,ok,
OpenML-ID-43945,30779,7695,8,2,0.8966861598440545,0.8966624742756918,0.24242986020718613,0.3330240249633789,17.17252492904663,ok,
OpenML-ID-43973,2537,635,5,2,0.8944881889763779,0.8943556249305571,0.23475714843245002,0.21230459213256836,0.3969557285308838,ok,
OpenML-ID-4538,7898,1975,32,5,0.7544303797468355,0.7501093809900197,0.671548443970633,0.31913042068481445,3.9021999835968018,ok,
OpenML-ID-46,2552,638,60,3,0.9482758620689655,0.947667644475628,0.19731099437867444,0.27648282051086426,1.813063383102417,ok,
OpenML-ID-470,537,135,9,2,0.7037037037037037,0.6121212121212122,0.6071914741275053,0.20849609375,0.18854713439941406,ok,
OpenML-ID-54,676,170,18,4,0.8705882352941177,0.8694254510921179,0.2637354168059564,0.21430635452270508,0.28154826164245605,ok,
OpenML-ID-846,13279,3320,18,2,0.8990963855421686,0.8965113225536291,0.2431682029525524,0.3045780658721924,5.473248720169067,ok,
OpenML-ID-934,924,232,5,2,0.9396551724137931,0.9396551724137931,0.12075120218511887,0.20570015907287598,0.16550350189208984,ok,
OpenML-ID-999,180,46,69,2,0.9130434782608695,0.9067632850241545,0.17803853117606,0.23961806297302246,0.2393479347229004,ok,
