dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-1050,1250,313,37,2,0.9009584664536742,0.8623569270071921,0.2662909592888738,11.727469205856323,2.3350484371185303,ok,
OpenML-ID-1063,417,105,21,2,0.819047619047619,0.8004353741496599,0.490930337116327,0.2739377021789551,0.22696733474731445,ok,
OpenML-ID-1067,1687,422,21,2,0.8815165876777251,0.8616718765755772,0.30572564563719845,0.23493456840515137,0.6012389659881592,ok,
OpenML-ID-1068,887,222,21,2,0.9459459459459459,0.9395752895752896,0.15386555956118322,0.22971391677856445,0.35675692558288574,ok,
OpenML-ID-11,500,125,4,3,0.976,0.9765366459627329,0.052734094135882544,0.21289372444152832,0.13743066787719727,ok,
OpenML-ID-12,1600,400,216,10,0.975,0.9749300056264655,0.11280740807153433,0.41682887077331543,3.273031711578369,ok,
OpenML-ID-1462,1097,275,4,2,1.0,1.0,1.537125931431917e-05,0.23221349716186523,0.13243579864501953,ok,
OpenML-ID-1464,598,150,4,2,0.7933333333333333,0.7725189517002383,0.4486246237396811,0.21538543701171875,0.09675216674804688,ok,
OpenML-ID-1468,864,216,856,9,0.9398148148148148,0.940217623692503,0.4111186766599253,1.079646110534668,6.533153295516968,ok,
OpenML-ID-1475,4894,1224,51,6,0.6372549019607843,0.6176509651028225,1.0461245590277548,0.34056568145751953,2.9601659774780273,ok,
OpenML-ID-1478,8239,2060,561,6,0.9927184466019418,0.992719788158552,0.026061411466971742,2.7155799865722656,51.15560960769653,ok,
OpenML-ID-1487,2027,507,72,2,0.9487179487179487,0.9339651450534407,0.13647500505018967,0.31200575828552246,1.5779013633728027,ok,
OpenML-ID-1489,4323,1081,5,2,0.9037927844588344,0.9031433122933364,0.2235037548626706,0.23632335662841797,0.6411583423614502,ok,
OpenML-ID-1494,844,211,41,2,0.9052132701421801,0.9032571176712376,0.2735616182619182,0.25852537155151367,0.49131178855895996,ok,
OpenML-ID-1497,4364,1092,24,4,0.9862637362637363,0.9862686088806807,0.036400250257540324,0.2932734489440918,1.6452627182006836,ok,
OpenML-ID-15,559,140,9,2,0.9714285714285714,0.9715631307468042,0.11851703270604845,0.22904324531555176,0.20610260963439941,ok,
OpenML-ID-1501,1274,319,256,10,0.9498432601880877,0.9502014143070856,0.14922993330557316,0.4567747116088867,3.142179012298584,ok,
OpenML-ID-151,36249,9063,8,2,0.9038949575195852,0.9038292171326651,0.22368728253725056,0.3645913600921631,22.788978576660156,ok,
OpenML-ID-16,1600,400,64,10,0.9675,0.9672994932966525,0.1285900170342535,0.2683548927307129,1.1401913166046143,ok,
OpenML-ID-18,1600,400,6,10,0.7625,0.7596500316762497,0.49419212645149374,0.2174837589263916,0.3501555919647217,ok,
OpenML-ID-182,5144,1286,36,6,0.926905132192846,0.9242251387381004,0.18277916809831,0.29190874099731445,2.4787099361419678,ok,
OpenML-ID-188,588,148,19,5,0.7094594594594594,0.7114694377712578,0.6504910841298703,0.2250535488128662,0.24536585807800293,ok,
OpenML-ID-22,1600,400,47,10,0.8175,0.8144206372810697,0.3124137824659363,0.25858235359191895,0.9040193557739258,ok,
OpenML-ID-23,1178,295,9,3,0.5864406779661017,0.5818602690468989,0.8742681967302468,0.217848539352417,0.31287431716918945,ok,
OpenML-ID-23381,400,100,12,2,0.6,0.5201663201663201,0.6590365932669777,0.21856164932250977,0.18981313705444336,ok,
OpenML-ID-28,4496,1124,64,10,0.9875444839857651,0.9875316444630914,0.03814160295287838,0.33104586601257324,3.1581568717956543,ok,
OpenML-ID-29,552,138,15,2,0.8405797101449275,0.8410846308264787,0.3735880174639574,0.22298622131347656,0.23024225234985352,ok,
OpenML-ID-3,2556,640,36,2,0.9953125,0.9953128095413957,0.026214696253366164,0.25535154342651367,1.2367067337036133,ok,
OpenML-ID-300,6237,1560,617,26,0.9621794871794872,0.9621673526140032,0.1376877694980168,2.1107101440429688,49.38773441314697,ok,
OpenML-ID-307,792,198,12,11,0.9949494949494949,0.994945594945595,0.020435327282141542,0.23226594924926758,1.278822660446167,ok,
OpenML-ID-31,800,200,20,2,0.735,0.7266370314322645,0.5028982973862536,0.2546844482421875,0.3040790557861328,ok,
OpenML-ID-32,8793,2199,16,10,0.9968167348794906,0.996819604653752,0.014275343123208268,0.2744441032409668,2.9710144996643066,ok,
OpenML-ID-37,614,154,8,2,0.7467532467532467,0.740694711986578,0.49808752386611177,0.21691083908081055,0.19159865379333496,ok,
OpenML-ID-38,3017,755,28,2,0.9920529801324504,0.9919702764045643,0.02421627893125526,0.24766302108764648,1.2373473644256592,ok,
OpenML-ID-40499,4400,1100,40,11,1.0,1.0,0.0009914635094891867,0.2915987968444824,6.17916202545166,ok,
OpenML-ID-40668,54045,13512,42,3,0.7974393132030787,0.7502027849869817,0.5103220061302807,1.0474567413330078,62.83987641334534,ok,
OpenML-ID-40927,48000,12000,3072,10,0.5094166666666666,0.5028142126126678,1.4038233651971452,74.47633719444275,5908.301137924194,ok,
OpenML-ID-6332,432,108,37,2,0.8796296296296297,0.879022612810103,0.3218431465369,0.2413041591644287,0.28827333450317383,ok,
