dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
ASP-POTASSCO-classification,1035,259,141,11,0.4247104247104247,0.4118940450330144,1.6297360809206551,11.742317199707031,4.348756313323975,ok,
BNG(cmc),44236,11060,9,3,0.5877938517179023,0.5863105867937015,0.8755890614838067,0.4413869380950928,32.73975610733032,ok,
Click_prediction_small,31958,7990,3,2,0.8317897371714643,0.7558979133273316,0.4388317371776538,0.2833828926086426,6.23779559135437,ok,
Credit_c,80000,20000,22,3,0.79545,0.7956357294924835,0.4899302375940062,1.1413943767547607,109.03518176078796,ok,
Diabetic_Retinopathy_Debrecen,920,231,19,2,0.7489177489177489,0.7485577064444988,0.5030680986519246,0.2283487319946289,0.3508555889129638,ok,
E-CommereShippingData,8799,2200,10,2,0.6768181818181818,0.6665712559480672,0.5062539241415526,0.2550001144409179,2.5260822772979736,ok,
Employee,3722,931,8,2,0.8549946294307197,0.8488021000578317,0.3631260686356927,0.2278764247894287,0.9516820907592772,ok,
FICO-HELOC-cleaned,7896,1975,23,2,0.7473417721518988,0.7472183856438411,0.5172333254511176,0.2920238971710205,3.1856894493103027,ok,
FOREX_audcad-day-High,1467,367,10,2,0.7493188010899182,0.7488223952853943,0.5163812082079818,0.2201333045959472,0.3836674690246582,ok,
FOREX_audcad-hour-High,35060,8765,10,2,0.7120365088419852,0.7120566822964876,0.5594340326484929,0.3844938278198242,21.728617906570435,ok,
FOREX_audchf-day-High,1466,367,10,2,0.7465940054495913,0.7465940054495913,0.5092945450297113,0.2230620384216308,0.3844292163848877,ok,
FOREX_audjpy-day-High,1465,367,10,2,0.7629427792915532,0.7625153149838787,0.4957357119268676,0.2196695804595947,0.3764216899871826,ok,
FOREX_audjpy-hour-High,35060,8765,10,2,0.7104392470051341,0.7099351131536942,0.5634705964312264,0.3682785034179687,21.73487114906311,ok,
FOREX_audsgd-hour-High,35060,8765,10,2,0.6862521391899601,0.6857413173880443,0.5923223978697257,0.4076440334320068,21.74139165878296,ok,
FOREX_audusd-hour-High,35060,8765,10,2,0.6821448944666286,0.6824228539226641,0.5899508914183549,0.3995258808135986,21.763338088989254,ok,
FOREX_cadjpy-day-High,1467,367,10,2,0.7138964577656676,0.7137434441720493,0.5670705426167034,0.2198553085327148,0.3881733417510986,ok,
FOREX_cadjpy-hour-High,35060,8765,10,2,0.6989161437535654,0.698519417083651,0.5806714568984226,0.3778853416442871,21.746492385864254,ok,
Firm-Teacher_Clave-Direction_Classification,8640,2160,16,4,0.8768518518518519,0.8753217223784123,0.3208937519185205,0.3690810203552246,2.8756237030029297,ok,
Fitness_Club_c,1200,300,6,2,0.7933333333333333,0.7897399116134175,0.4541215428850754,0.2197661399841308,0.2252287864685058,ok,
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,1280,320,20,2,0.66875,0.6617605998962945,0.6150912827105636,0.2286036014556884,0.4412744045257568,ok,
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,1280,320,20,2,0.68125,0.6808011265842591,0.5479872001809516,0.2294068336486816,0.441295862197876,ok,
Gender_Gap_in_Spanish_WP,3796,950,13,3,0.6105263157894737,0.5604572750331756,0.7955801605467921,0.2336423397064209,1.117038011550903,ok,
GesturePhaseSegmentationProcessed,7898,1975,32,5,0.7549367088607595,0.7505915882850538,0.6715258835862045,0.3202791213989258,3.7893688678741455,ok,
HR_Analytics_Job_Change_of_Data_Scientists,15326,3832,13,2,0.8019311064718163,0.8033659254345116,0.4311579300787167,0.3341424465179443,5.934530019760132,ok,
IBM_HR_Analytics_Employee_Attrition_and_Performance,1176,294,31,2,0.8571428571428571,0.8095832590214613,0.3635847244113792,0.2429018020629882,0.5580129623413086,ok,
INNHotelsGroup,29020,7255,17,2,0.9015851137146796,0.9009206951624182,0.2303870160093138,0.433438777923584,17.336972951889038,ok,
Indian_pines,7315,1829,220,8,0.9589939857845816,0.9587199105928944,0.1175158888113845,0.8442466259002686,17.39514470100403,ok,
JapaneseVowels,7968,1993,14,9,0.9989964877069744,0.998996661619066,0.0030790418638625,0.2860164642333984,2.6431634426116943,ok,
KDDCup09_upselling,4102,1026,49,2,0.804093567251462,0.8037802273084078,0.3778678288666045,0.3005609512329101,2.393040418624878,ok,
MIC,1319,330,104,2,0.8606060606060606,0.8086630257160058,0.2974915523638818,0.3104710578918457,3.878537178039551,ok,
MagicTelescope,15216,3804,9,2,0.8838065194532071,0.881828646753103,0.2817043083826983,0.3102016448974609,13.12097430229187,ok,
Marketing_Campaign,1792,448,27,2,0.8883928571428571,0.8789973578717201,0.2469056079506031,0.2659003734588623,1.0920095443725586,ok,
Mobile_Price_Classification,1600,400,20,4,0.945,0.9449464946494648,0.1543182102837283,0.2721552848815918,1.0705170631408691,ok,
National_Health_and_Nutrition_Health_Survey,1822,456,7,2,0.8399122807017544,0.7994757710377405,0.3785538216240329,0.2263050079345703,0.7710373401641846,ok,
PhishingWebsites,8844,2211,30,2,0.973767526006332,0.9737591380934736,0.062108981927733,0.3360428810119629,8.278469324111938,ok,
PieChart3,861,216,37,2,0.875,0.8166666666666667,0.2793141014654376,0.2606301307678222,0.9062845706939696,ok,
Pima_Indians_Diabetes_Database,614,154,8,2,0.7467532467532467,0.7389951134515554,0.456807737847627,0.435636043548584,0.4580810070037842,ok,
PizzaCutter3,834,209,37,2,0.8803827751196173,0.8243787817913973,0.2629414993942361,0.2855010032653808,0.7156360149383545,ok,
Pumpkin_Seeds,2000,500,12,2,0.874,0.8738274728054641,0.2989232920552232,0.2296433448791504,0.9861657619476318,ok,
QSAR_biodegradation,843,211,41,2,0.8862559241706162,0.8833434046314654,0.2760804263512629,0.2960133552551269,0.8155009746551514,ok,
Rain_in_Australia,116368,29092,18,3,0.8504743572116046,0.8418863152828804,0.3739600388575304,1.3437750339508057,332.6445910930633,ok,
SDSS17,80000,20000,12,3,0.97635,0.9762232567244856,0.0762819767605079,0.6227333545684814,101.57416939735413,ok,
Telecom_Churn_Dataset,2666,667,17,2,0.95952023988006,0.95808701613062,0.1620393013243915,0.2348396778106689,0.8731303215026855,ok,
UJI_Pen_Characters,1091,273,80,35,0.5641025641025641,0.5548911756249536,1.4777921531827758,0.2719621658325195,2.652361869812012,ok,
Water_Quality_and_Potability,2620,656,8,2,0.6509146341463414,0.5835548433576456,0.6264967212585221,0.2188818454742431,0.6493103504180908,ok,
Wilt,3856,965,5,2,0.9927461139896372,0.9926443320683423,0.0333953391253613,0.2222299575805664,0.5669245719909668,ok,
abalone,3341,836,8,3,0.6471291866028708,0.6506845919307434,0.7480238581549398,0.2254676818847656,0.8143084049224854,ok,
accelerometer,122403,30601,4,4,0.7412176072677363,0.7389892787766127,0.5389077214201687,0.4429643154144287,222.4539852142334,ok,
ada,3317,830,48,2,0.8421686746987952,0.8329446001587701,0.3292430515075548,0.277261734008789,1.8741929531097408,ok,
ada_agnostic,3649,913,48,2,0.8313253012048193,0.8248951158084177,0.3556975740015082,0.2820236682891845,2.076058387756348,ok,
ada_prior,3649,913,14,2,0.8422782037239869,0.8342747821965313,0.3557236356888197,0.2413432598114013,1.0823514461517334,ok,
airlines_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,1600,400,7,2,0.61,0.59544,0.6321730733848411,0.2225046157836914,0.3344154357910156,ok,
allbp,3017,755,29,3,0.9788079470198676,0.9745560250231142,0.0647661911317985,0.2460591793060302,1.240173578262329,ok,
allrep,3017,755,29,4,0.9854304635761588,0.9831416823013608,0.0404156269926198,0.2448344230651855,1.2383296489715576,ok,
analcatdata_authorship,672,169,69,4,0.9822485207100592,0.982241463870747,0.037724698407059,0.3635168075561523,0.5662519931793213,ok,
artificial-characters,8174,2044,7,10,0.8605675146771037,0.8602971161128301,0.3599767028016188,0.2389338016510009,2.2242720127105717,ok,
autoUniv-au4-2500,2000,500,100,3,0.5,0.4545083681228567,0.9103289266829836,0.341278076171875,2.0398380756378174,ok,
autoUniv-au7-1100,880,220,12,5,0.3863636363636363,0.3656827793116453,1.3597249268409113,0.2218141555786132,0.2770018577575683,ok,
bank,36168,9043,16,2,0.9086586309852924,0.9035905821999872,0.1881948170822916,0.492340087890625,24.89075088500977,ok,
banknote_authentication,1097,275,4,2,0.5490909090909091,0.4006953633368727,0.6874077906199962,0.2123417854309082,0.1310093402862548,ok,
baseball,1072,268,16,3,0.9477611940298508,0.9377872893290616,0.1304973705616985,0.2278766632080078,0.3626363277435303,ok,
car-evaluation,1382,346,21,4,0.976878612716763,0.9771444454831776,0.0547524616547483,0.2288351058959961,0.4830429553985595,ok,
churn,4000,1000,20,2,0.954,0.9521773422689772,0.1525348945408142,0.243549108505249,1.3780932426452637,ok,
cmc,1178,295,9,3,0.5864406779661017,0.5818602690468989,0.8742669663949262,0.2186291217803955,0.309739351272583,ok,
