dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-12,1600,400,216,10,0.9725,0.9724972351449146,0.0991395723135689,11.552598237991331,4.903624773025513,ok,
OpenML-ID-1487,2027,507,72,2,0.9487179487179488,0.9339651450534407,0.1314271733991291,0.3627824783325195,1.580146312713623,ok,
OpenML-ID-151,36249,9063,8,2,0.8896612600684101,0.8894149241115921,0.2579887735592116,0.3860979080200195,22.72269558906555,ok,
OpenML-ID-40701,4000,1000,20,2,0.956,0.9547281105990784,0.14397591782732,0.2924823760986328,1.3858633041381836,ok,
OpenML-ID-40923,73600,18400,1024,46,0.9481521739130436,0.9481586533688068,0.2465042536449572,29.1001238822937,2231.841677427292,ok,
OpenML-ID-1049,1166,292,37,2,0.9075342465753424,0.9017281984442084,0.1838943253502115,11.45628833770752,2.267932415008545,ok,
OpenML-ID-1468,864,216,856,9,0.925925925925926,0.9263965787774664,0.6262469450204401,1.1388747692108154,6.572857618331909,ok,
OpenML-ID-16,1600,400,64,10,0.965,0.9648849213501172,0.1283822775388371,0.2945625782012939,1.142937183380127,ok,
OpenML-ID-188,588,148,19,5,0.7297297297297297,0.729095002726147,0.5978070346188397,0.2320573329925537,0.2499773502349853,ok,
OpenML-ID-22,1600,400,47,10,0.8,0.797781028906594,0.3498863060651777,0.2686295509338379,0.9114031791687012,ok,
OpenML-ID-23,1178,295,9,3,0.5932203389830508,0.5904014145941553,0.8734944033330578,0.2271747589111328,0.3166210651397705,ok,
OpenML-ID-23381,400,100,12,2,0.57,0.4895854190732897,0.6635981846191524,0.2278106212615966,0.1958341598510742,ok,
OpenML-ID-23517,77056,19264,21,2,0.5186357973421927,0.4990218858346056,0.6922312884945134,0.927237033843994,102.73952579498292,ok,
OpenML-ID-1053,8708,2177,21,2,0.8194763435920992,0.7749371644003626,0.4239839531279391,11.55684757232666,4.955475807189941,ok,
OpenML-ID-1489,4323,1081,5,2,0.8945420906567992,0.893615230072717,0.2340391974083051,0.261052131652832,0.6393246650695801,ok,
OpenML-ID-1497,4364,1092,24,4,0.9862637362637364,0.986261557879507,0.0437171905124525,0.3174896240234375,1.6490135192871094,ok,
OpenML-ID-1510,455,114,30,2,0.9824561403508772,0.9823623542652152,0.0424575256328932,0.2775602340698242,0.2668218612670898,ok,
OpenML-ID-1590,39073,9769,14,2,0.8604770191421844,0.8555506060117963,0.3031458212208022,0.4599339962005615,28.287680625915527,ok,
OpenML-ID-40966,864,216,77,8,1.0,1.0,0.0037840705292402,0.2663023471832275,0.7611913681030273,ok,
OpenML-ID-40975,1382,346,6,4,0.9913294797687862,0.9913509753113924,0.0377963375755855,0.2111117839813232,0.3129069805145263,ok,
OpenML-ID-40978,2623,656,1558,2,0.945121951219512,0.9392962235557156,0.1403769599441293,3.212282180786133,50.93519115447998,ok,
OpenML-ID-554,56000,14000,784,10,0.9761428571428572,0.9761240794930008,0.0774357871174293,16.620257139205933,1498.707242012024,ok,
OpenML-ID-1068,887,222,21,2,0.9414414414414416,0.9330171853150268,0.1516959373324821,11.164041757583618,2.059715509414673,ok,
OpenML-ID-1462,1097,275,4,2,1.0,1.0,0.0001004561651243,0.2791974544525146,0.1348311901092529,ok,
OpenML-ID-1464,598,150,4,2,0.7933333333333333,0.7761389689851607,0.4570677645047434,0.2934901714324951,0.098635196685791,ok,
OpenML-ID-1480,466,117,10,2,0.6837606837606838,0.6521136761937346,0.5305512163618056,0.2676529884338379,0.2073173522949218,ok,
OpenML-ID-1485,2080,520,500,2,0.6115384615384616,0.6115154742884193,0.6695888466111831,0.9250295162200928,9.82559585571289,ok,
OpenML-ID-29,552,138,15,2,0.8405797101449275,0.8410846308264787,0.3777083670541111,0.230626106262207,0.2304544448852539,ok,
OpenML-ID-3,2556,640,36,2,0.99375,0.9937507947687102,0.0493031266089529,0.2649409770965576,1.2445995807647705,ok,
OpenML-ID-300,6237,1560,617,26,0.9596153846153846,0.959529343391938,0.1491310209139234,2.0890355110168457,49.6858057975769,ok,
OpenML-ID-4134,3000,751,1776,2,0.7683089214380826,0.7674395052793476,0.4717774895009451,3.827423572540283,66.6781005859375,ok,
OpenML-ID-1050,1250,313,37,2,0.8945686900958466,0.8478037164146134,0.2659852748162027,11.423816919326782,2.2704391479492188,ok,
OpenML-ID-1475,4894,1224,51,6,0.6356209150326797,0.6149051170035533,1.0749143913531176,0.3857271671295166,2.9736578464508057,ok,
OpenML-ID-1494,844,211,41,2,0.8815165876777251,0.8793526478424041,0.2780954887209642,0.306706428527832,0.4902961254119873,ok,
OpenML-ID-15,559,140,9,2,0.9571428571428572,0.9573446961202065,0.1212380575463847,0.2895736694335937,0.2062811851501464,ok,
OpenML-ID-1501,1274,319,256,10,0.9498432601880876,0.9498511937383408,0.1712983954984377,0.534724235534668,3.1631104946136475,ok,
OpenML-ID-18,1600,400,6,10,0.7575,0.7464738737055828,0.5012339513608953,0.2799243927001953,0.3494272232055664,ok,
OpenML-ID-182,5144,1286,36,6,0.927682737169518,0.9242315410746068,0.1868859582693606,0.3090579509735107,2.487481117248535,ok,
OpenML-ID-28,4496,1124,64,10,0.98932384341637,0.9893193119774952,0.048213894692766,0.3270456790924072,3.163975477218628,ok,
OpenML-ID-307,792,198,12,11,0.9848484848484848,0.9848133123674918,0.0449419225423527,0.2129411697387695,1.4323499202728271,ok,
OpenML-ID-31,800,200,20,2,0.745,0.7369526151518017,0.5062642726720572,0.2206485271453857,0.3069071769714355,ok,
OpenML-ID-32,8793,2199,16,10,0.9954524783992724,0.9954551938570312,0.0183153012660017,0.2672798633575439,2.9649879932403564,ok,
OpenML-ID-37,614,154,8,2,0.7337662337662337,0.7290418482842073,0.5124692556286445,0.2114059925079345,0.1967394351959228,ok,
OpenML-ID-38,3017,755,28,2,0.9920529801324504,0.9921319105948324,0.0240266038568388,0.2424736022949218,1.2478783130645752,ok,
OpenML-ID-40499,4400,1100,40,11,0.9990909090909093,0.999090886363068,0.0046032779818166,0.2828114032745361,6.332374095916748,ok,
OpenML-ID-40670,2548,638,180,3,0.8918495297805643,0.8895730124364458,0.2790596274273751,0.4238476753234863,4.4120752811431885,ok,
OpenML-ID-40927,48000,12000,3072,10,0.4899166666666666,0.4790203464103635,1.4768224522886388,75.74762916564941,5438.905053377152,ok,
OpenML-ID-1063,417,105,21,2,0.8285714285714286,0.8134646962233169,0.4949947632714135,10.764309167861938,2.0619349479675293,ok,
OpenML-ID-14,1600,400,76,10,0.8925,0.8920677831722008,0.2972202778324234,0.43623948097229,1.3064100742340088,ok,
OpenML-ID-1486,27572,6893,118,2,0.9673581894675758,0.9672489633090464,0.0859101972622194,1.466496229171753,39.55932450294495,ok,
OpenML-ID-40979,1600,400,240,10,0.9625,0.9624603835956564,0.1198722953503625,0.4452488422393799,3.6374351978302,ok,
OpenML-ID-40982,1552,389,27,7,0.8020565552699229,0.8015085241637788,0.511848820138629,0.269162654876709,0.6403181552886963,ok,
OpenML-ID-40983,3871,968,5,2,0.9907024793388428,0.9906598818919714,0.0267483139108486,0.2182927131652832,0.5670285224914551,ok,
OpenML-ID-40984,1848,462,16,7,0.9393939393939394,0.9395652635336568,0.1672427805319426,0.2262604236602783,0.5764021873474121,ok,
OpenML-ID-40994,432,108,18,2,0.9537037037037036,0.94537072123279,0.1323436842073773,0.2190144062042236,0.2188024520874023,ok,
OpenML-ID-40996,56000,14000,784,10,0.8927142857142857,0.8910368362910632,0.289068566774862,19.36512780189514,1639.6008341312408,ok,
OpenML-ID-11,500,125,4,3,0.976,0.9773894682840228,0.046066475406152,11.235936641693115,1.8468117713928225,ok,
OpenML-ID-1461,36168,9043,16,2,0.9099856242397436,0.9040499146965826,0.1977773181236334,0.641643762588501,24.7348952293396,ok,
OpenML-ID-40668,54045,13512,42,3,0.7206927175843695,0.6443374590727106,0.6416068565478383,1.1010138988494873,62.665255308151245,ok,
OpenML-ID-469,637,160,4,6,0.19375,0.1724499107311607,1.7760384964546154,0.2253577709197998,0.2153735160827636,ok,
OpenML-ID-50,766,192,9,2,0.9739583333333334,0.9737089603283174,0.081554607321071,0.2216706275939941,0.2567613124847412,ok,
OpenML-ID-6,16000,4000,16,26,0.98325,0.983251657537726,0.0448620184482605,0.3298442363739013,21.0062153339386,ok,
OpenML-ID-1067,1687,422,21,2,0.8672985781990521,0.8349796291677061,0.3155452744989323,11.437392711639404,2.317734479904175,ok,
