dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-14,1600,400,76,10,0.8875,0.8869780346989586,0.2983465989967376,11.287049293518066,2.9417710304260254,ok,
OpenML-ID-1567,820007,205002,10,10,0.671334913805719,0.640252545549689,0.7683401186194765,3.988537311553955,10103.152153253555,ok,
OpenML-ID-11,500,125,4,3,0.976,0.9773894682840228,0.046066475406152,11.201528310775757,1.932312250137329,ok,
OpenML-ID-1486,27572,6893,118,2,0.967068040040621,0.966963071185182,0.0862059653767632,1.542325735092163,39.8065230846405,ok,
OpenML-ID-43945,30779,7695,8,2,0.8755035737491877,0.8754810475448855,0.2811006779950871,0.3357913494110107,17.131216764450073,ok,
OpenML-ID-43973,2537,635,5,2,0.8976377952755905,0.8974011784847034,0.2381746221004556,0.2139894962310791,0.3913474082946777,ok,
OpenML-ID-4538,7898,1975,32,5,0.7544303797468355,0.7491577029125963,0.6948854192602942,0.3179590702056885,3.803581714630127,ok,
OpenML-ID-46,2552,638,60,3,0.9435736677115988,0.9429799078590392,0.203266667841404,0.2788574695587158,1.7724480628967283,ok,
OpenML-ID-470,537,135,9,2,0.674074074074074,0.6158730158730158,0.6128911721033059,0.211210012435913,0.1890234947204589,ok,
OpenML-ID-54,676,170,18,4,0.8588235294117647,0.8564140197989527,0.2734388138839229,0.2177441120147705,0.2811965942382812,ok,
OpenML-ID-846,13279,3320,18,2,0.9021084337349398,0.8999214303659455,0.2412344789248587,0.3065700531005859,5.426450252532959,ok,
OpenML-ID-934,924,232,5,2,0.9482758620689656,0.9475029129797764,0.1419776315799094,0.2088422775268554,0.1681222915649414,ok,
OpenML-ID-999,180,46,69,2,0.9130434782608696,0.9067632850241544,0.1958079505326075,0.2405838966369629,0.2446894645690918,ok,
OpenML-ID-1169,431506,107877,7,2,0.6576842144293964,0.6455881850291327,0.616431366764969,12.882394790649414,2432.694955587387,ok,
OpenML-ID-1043,3649,913,48,2,0.8346111719605696,0.8274577003007969,0.3476500678714259,11.480408906936646,3.688814163208008,ok,
OpenML-ID-23512,78440,19610,28,2,0.7335033146353901,0.7332442297377555,0.5217167304328906,1.414130449295044,110.12048411369324,ok,
OpenML-ID-1468,864,216,856,9,0.925925925925926,0.9263965787774664,0.6262469450204401,12.32842254638672,8.055219411849976,ok,
OpenML-ID-41150,104051,26013,50,2,0.941490793065006,0.9414119302613944,0.1460373118113666,2.038405179977417,204.82966589927676,ok,
OpenML-ID-10,118,30,18,4,0.9333333333333332,0.932154882154882,0.187075292579957,11.199977159500122,1.9770054817199707,ok,
OpenML-ID-1493,1279,320,64,100,0.9125,0.9085739087301586,0.4145822712032374,0.423877477645874,4.519731521606445,ok,
OpenML-ID-41147,340192,85048,78,2,0.6548302135264792,0.6539554731616667,0.6320966419465134,12.327308654785156,2700.486449718476,ok,
OpenML-ID-1459,8174,2044,7,10,0.7710371819960861,0.7706631329055392,0.5499124239524937,11.07778525352478,4.090801954269409,ok,
OpenML-ID-27,294,74,22,2,0.8648648648648649,0.8584134006128891,0.4507812216288334,0.2828128337860107,0.1987249851226806,ok,
OpenML-ID-29,552,138,15,2,0.855072463768116,0.855531482569526,0.3837301738310119,0.3002452850341797,0.2312061786651611,ok,
OpenML-ID-333,444,112,6,2,1.0,1.0,0.0004520790585895,0.2935314178466797,0.1400635242462158,ok,
OpenML-ID-41027,35855,8964,6,3,0.8776215975011156,0.8762400628919726,0.2025889691392024,0.3985259532928467,21.468911170959476,ok,
OpenML-ID-4134,3000,751,1776,2,0.7683089214380826,0.7674395052793476,0.4717820300882296,3.86956000328064,67.8303894996643,ok,
OpenML-ID-1067,1687,422,21,2,0.8672985781990521,0.8349796291677061,0.3155452744989323,11.1910560131073,2.378414869308472,ok,
OpenML-ID-1494,844,211,41,2,0.8815165876777251,0.8793526478424041,0.2780954887209642,0.2970211505889892,0.4886183738708496,ok,
OpenML-ID-1565,235,59,13,5,0.6949152542372882,0.6097706879361914,0.7433620520432215,0.2912731170654297,0.1726200580596923,ok,
OpenML-ID-22,1600,400,47,10,0.8025,0.7989827021027032,0.3446145943455402,0.3324861526489258,0.9091956615447998,ok,
OpenML-ID-31,800,200,20,2,0.77,0.7602875112309075,0.4911348617421538,0.2915804386138916,0.3108503818511963,ok,
OpenML-ID-40981,552,138,14,2,0.855072463768116,0.855531482569526,0.3301496060852442,0.2950685024261474,0.2234981060028076,ok,
OpenML-ID-41143,2387,597,144,2,0.7973199329983249,0.7916498820761921,0.413972150679316,0.4560165405273437,3.3748581409454346,ok,
OpenML-ID-41159,16000,4000,4296,2,0.59975,0.4496953430223472,0.6744614803371646,30.97479772567749,2689.10812330246,ok,
