dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
OpenML-ID-11,500,125,4,3,0.976,0.9773894682840228,0.04606647540615206,11.201528310775757,1.932312250137329,ok,
OpenML-ID-1486,27572,6893,118,2,0.967068040040621,0.9669630711851819,0.08620596537676328,1.542325735092163,39.8065230846405,ok,
OpenML-ID-43945,30779,7695,8,2,0.8755035737491877,0.8754810475448855,0.2811006779950871,0.33579134941101074,17.131216764450073,ok,
OpenML-ID-43973,2537,635,5,2,0.8976377952755905,0.8974011784847034,0.23817462210045562,0.2139894962310791,0.39134740829467773,ok,
OpenML-ID-4538,7898,1975,32,5,0.7544303797468355,0.7491577029125963,0.6948854192602942,0.3179590702056885,3.803581714630127,ok,
OpenML-ID-46,2552,638,60,3,0.9435736677115988,0.9429799078590393,0.20326666784140404,0.2788574695587158,1.7724480628967285,ok,
OpenML-ID-470,537,135,9,2,0.674074074074074,0.6158730158730158,0.6128911721033059,0.21121001243591309,0.18902349472045898,ok,
OpenML-ID-54,676,170,18,4,0.8588235294117647,0.8564140197989527,0.27343881388392294,0.2177441120147705,0.28119659423828125,ok,
OpenML-ID-846,13279,3320,18,2,0.9021084337349398,0.8999214303659455,0.24123447892485878,0.30657005310058594,5.426450252532959,ok,
OpenML-ID-934,924,232,5,2,0.9482758620689655,0.9475029129797764,0.14197763157990942,0.20884227752685547,0.1681222915649414,ok,
OpenML-ID-999,180,46,69,2,0.9130434782608695,0.9067632850241545,0.19580795053260755,0.2405838966369629,0.2446894645690918,ok,
