dataset_id,n_train,n_test,n_features,n_classes,accuracy,f1_weighted,logloss,fit_seconds,predict_seconds,status,error
BNG(tic-tac-toe),31492,7874,9,2,0.8119126238252476,0.8085191551404451,0.4109773017455417,11.694612264633179,19.492263317108154,ok,
FOREX_audcad-hour-High,35060,8765,10,2,0.708157444381061,0.7082058057470993,0.56560579781327,0.4470033645629883,21.98238444328308,ok,
FOREX_cadjpy-day-High,1467,367,10,2,0.7138964577656676,0.713892209281542,0.5653642107255465,0.2721588611602783,0.3900141716003418,ok,
FOREX_cadjpy-hour-High,35060,8765,10,2,0.6790644609241301,0.6785162308516824,0.6001231393250955,0.4400758743286133,22.007187843322754,ok,
PieChart3,861,216,37,2,0.875,0.8166666666666667,0.2769925338622862,0.29424428939819336,0.4746732711791992,ok,
Pima_Indians_Diabetes_Database,614,154,8,2,0.7337662337662337,0.7236747438378277,0.4605768958968632,0.2784690856933594,0.1960926055908203,ok,
PizzaCutter3,834,209,37,2,0.8803827751196173,0.8243787817913973,0.2544651773186637,0.25974035263061523,0.4676673412322998,ok,
QSAR_biodegradation,843,211,41,2,0.8767772511848341,0.8729723820807944,0.29344127600654196,0.2368474006652832,0.4986083507537842,ok,
SDSS17,80000,20000,12,3,0.9758,0.9756824970573873,0.08050920484967218,0.6255390644073486,102.38511943817139,ok,
default_of_credit_card_clients,24000,6000,23,2,0.8253333333333334,0.8060134144712013,0.41631083838041,0.49024271965026855,14.019496202468872,ok,
delta_ailerons,5703,1426,5,2,0.9537166900420757,0.9537166900420757,0.15787296779786597,0.21918559074401855,0.8559379577636719,ok,
dis,3017,755,29,2,0.9854304635761589,0.9793199576262391,0.04554530536212842,0.24101471900939941,1.2441010475158691,ok,
dna,2548,638,180,3,0.8918495297805643,0.8895730124364458,0.2791037102796492,0.4223899841308594,4.432759523391724,ok,
drug_consumption,1507,377,12,7,0.40318302387267907,0.23169686059980046,1.5089917611484553,0.23111772537231445,0.424959659576416,ok,
dry_bean_dataset,10888,2723,16,7,0.9269188395152406,0.926819216283583,0.19083537026979105,0.40415310859680176,3.9438462257385254,ok,
eeg-eye-state,11984,2996,14,2,0.9933244325767691,0.9933235003941218,0.028431566434504785,0.28228139877319336,4.30225133895874,ok,
electricity,36249,9063,8,2,0.8895509213284785,0.8893021077148076,0.257977263140679,0.37076330184936523,22.739659786224365,ok,
estimation_of_obesity_levels,1688,423,16,7,0.9810874704491725,0.9811055992002957,0.045265583935201685,0.22503066062927246,0.5407304763793945,ok,
eye_movements,8748,2188,27,3,0.6489945155393053,0.6483481080026943,0.7369127017639799,0.3174927234649658,3.7503468990325928,ok,
eye_movements_bin,6086,1522,20,2,0.5939553219448095,0.5939377926975838,0.6527068236335307,0.2634150981903076,2.1449224948883057,ok,
first-order-theorem-proving,4894,1224,51,6,0.6356209150326797,0.6149051170035533,1.0749615966227979,0.3136122226715088,2.957814931869507,ok,
gas-drift,11128,2782,128,6,0.99568655643422,0.9956877614810337,0.020371623781148904,0.8976147174835205,14.770596265792847,ok,
golf_play_dataset_extended,876,219,9,2,0.9315068493150684,0.9317758266249112,0.15005080250324992,0.22819161415100098,0.2748143672943115,ok,
heloc,8000,2000,22,2,0.721,0.7207140111474151,0.5430524738496741,0.2937612533569336,3.1597073078155518,ok,
hill-valley,969,243,100,2,0.7489711934156379,0.7406552845672563,0.5930681862231537,0.2782270908355713,1.033428430557251,ok,
house_16H,10790,2698,16,2,0.8917716827279466,0.891771147471799,0.269606993545178,0.2895994186401367,3.9009201526641846,ok,
htru,14318,3580,8,2,0.9807262569832402,0.9806596438011896,0.06453724466239744,0.25876498222351074,4.775199890136719,ok,
ibm-employee-performance,1176,294,30,2,0.9863945578231292,0.9861323571400209,0.037477573939028806,0.23751306533813477,0.5337345600128174,ok,
in_vehicle_coupon_recommendation,10147,2537,21,2,0.7820260149783208,0.7804443253150275,0.4674225467536567,0.32037830352783203,3.939281702041626,ok,
internet_firewall,52425,13107,7,4,0.9308766308079652,0.9282498929712982,0.10982670248920302,0.3394310474395752,44.27291297912598,ok,
madeline,2512,628,259,2,0.6480891719745223,0.648070431240404,0.615557105650441,0.5192198753356934,6.214457988739014,ok,
mfeat-fourier,1600,400,76,10,0.8875,0.8869780346989586,0.2983429140557677,0.2921478748321533,1.2958314418792725,ok,
mfeat-pixel,1600,400,240,10,0.96,0.9599183585159194,0.11851275374889202,0.44533634185791016,3.6276166439056396,ok,
mozilla4,12436,3109,4,2,0.9366355741395948,0.935756994407054,0.18359931547710973,0.2455148696899414,1.7451319694519043,ok,
naticusdroid+android+permissions+dataset,23465,5867,86,2,0.9461394238963695,0.9461081440720313,0.1643845927229854,0.9116392135620117,25.893944025039673,ok,
thyroid-dis,2240,560,26,5,0.6857142857142857,0.6654893537021086,0.7185340234093415,0.2351226806640625,0.8925216197967529,ok,
thyroid,5760,1440,21,3,0.9916666666666667,0.9915528636364305,0.019088143778560406,0.2498002052307129,2.0562069416046143,ok,
vehicle,676,170,18,4,0.8588235294117647,0.8564140197989527,0.2734326130763705,0.21510934829711914,0.28203344345092773,ok,
walking-activity,119465,29867,4,22,0.6607627147018449,0.6589041113797411,0.9775187942419631,0.45684099197387695,376.88790798187256,ok,
